ep. 227 - 

みなさんこんにちはともですこれは日本語を勉強している人のためのポッドキャストです
教科書の日本は面白くないでもドラマや映画は難しすぎる そんな人のために日本語教師の友がちょうどいい日本語で話をします
でこの5月人形昔はねその人形ですからね 人の形であのちゃんと中の人も兜も鎧も全部飾ったりしてたんですが
でもね最近は あまりねこれ全部飾る家って多くないんじゃないかなと思います
多分ですけどね えっと実はこの恋の堀と5月人形って昔からの日本の
文化の一つなんですけど最近はやらないところも多くなってきました まあなぜかというと
場所がないからですね恋の堀ってとても大きいんですよ 外にその飾るんですけど一番大きいのだと
多分2メートルとか3メートルとかねすごく大きいんです 大きいけど布で作ってあるからそんなに重くないので風が強い時には
あの 恋がね空を泳いでいるように見えるんですけどただねそんな2メートルみたいな大きいものを
うちの外に出すことがなかなかできないんですよ なぜかというと最近は
土地も高いからね特に東京とかそういう都会だと 自分の家
大きい広い庭がついている自分の家を持っている人ってとても少ないんですよ みんなアパートとかマンションとかね
だからアパートのベランダとかあとは 外に出た時の廊下とかそんなところに廊下って言わないか通路だね
みんなが歩くと歩くところそこに大きい恋のぼりを置いたら他の人の 邪魔になってしまうのでだからね最近では大きい恋のぼりは出さなくなりました
代わりに紙で作った小さい恋のぼり10センチとか20センチくらいのね そのくらいの恋のぼりをちょっと外に置いたりとかする人は多くなったと思います
あとは人形の方もそうですね 昔は兜を兜だけじゃなくてその人形全部をね
家の中に飾る人も多かったと思うんですが 今はそのアパートに住んでいる人とかね
マンションに住んでいる人なんかは 置いとく場所もないしこの5月人形は5月に出すだけで他はずーっとどこかに
しまっておくんですけどしまう場所もなかなかない だから
鎧全部は買わない兜だけを買うっていう人もいますが 兜も大きいものは置いておくと邪魔だから
これもね本物の兜じゃなくて小さい 紙とか木とかで作った別のものをちょっとだけね
飾るとかそういう人が多くなってきたなぁと思います
まあねその日本の伝統的な文化ですからね 完全になくなってはいませんがやる人はちょっと少なくなってきたかなと思います
で家にもね子供がいるんですけど家には一応ね兜があります まあ少し小さめですけどあのちゃんとね
鉄で作った兜ですねそれを子供の日には外に出して外にてかあの 仕舞っていたのを出してそして飾っています
でえっとねこの鯉のぼりとかあの5月人形ですね 基本的に
昔はねやっぱり男の子の子供が喜ばれてたんですよ あの
昔って本当に何百年も前ですね500年前とか そのぐらいだと
日本ではね武士まあ侍っていう言葉の方がみんなわかるかな 戦う人のことを侍みたいに戦う人ね
武士って言ってたんですけど武士の世の中で 強い人が偉いという時代だったので男の子供でそしてあのとても強くなって
戦争でたくさん勝ってそして自分の土地とかね 自分の国をどんどん大きくしていける人それが
あの素晴らしい人だすごい人だと考えられていたので 男の子の子供がすごく歓迎されてそしてその子供が強く元気に育つようにという
願いを込めて 5月人形兜とか鎧を飾っていましたね
で女の子はねあの まあ子供の日って今は男も女も関係なく子供のための日なんですけど
昔はねやっぱりその男の子供のためで女の子は日本ではね 別の女の子のための日があってそれはひな祭りという日ですね
3月にあるんですけど こっちは男は何もなくて女の子の
子供の日でその日はねあのひな人形って言ってやっぱり人形を飾るんですよ まあこれはあの3月だから5月の恋のぼりとか
あの5月人形とは別のイベントになります まあやっぱりね今の時代はね男と女で分けるのは良くないって言って
その子供の日も男女関係なく男の子の子供も女の子の子供もみんな元気に育って くださいっていうそういうお願いをするところが多くなってはきましたね
入ってことで今日はねあの恋のぼりと5月人形の話をしました 日本の文化ですね5月に5月じゃないかえっと4月の終わりぐらいに日本に来るとまあ
ゴールデンウィークのあたりですねそのぐらいで日本に来ると あの日本のおもちゃの店に行くとね
5月人形とか恋のぼりとかそういうものがねたくさん売られていると思います なのでえっと日本に旅行に来る人はね
時期が合えば恋のぼりとか5月人形をぜひ見てみてください はいじゃあえっと今日はこの辺で終わりにしたいと思いますがまたリクエストとかあり
ましたらねぜひ皆さんも連絡をください あとはペイパルのアカウントを載せておきますので
8このポッドキャスト気に入ってくれた方いましたら寄付をしていただけると嬉しいです それじゃあまた次のエピソードでお会いしましょうさようなら
aname
