ep. 208 - JLPT公式問題集1の解説-N2問題7(33)(34)(35)(36)(N2)

(00:00:00) 皆さんこんにちはともですこれは日本語を勉強している人のためのポッドキャストです 教科書の日本語は面白くないでもドラマや映画は難しすぎる
(00:07:10) はいなのでねえっと最初の答えは3番のとか 1問目からちょっと説明が長くなりましたが女子ってねやっぱりみんな苦手だと思うので使い
(00:07:20) 方よく覚えておくといいですね じゃあ8その次の問題見てみましょう34番ですね
(00:07:28) えっとねこれはねー 8末っていう言葉を覚えておきましょう悩んだ末ですね
(00:07:36) で末っていうのは漢字で書くとね意味わかりやすいんですけど 週末の末ですねだから悩んでそして最後にっていうのが悩んだ末です
(00:07:49) 末の前はねた系なんですけど何かをしてそして最後にっていう意味だからた系になる のはすぐ覚えられますね
(00:07:57) でねこれはねうんと 意味を文全体の意味を考えるとわかりやすいと思うんですけど
(00:08:04) 悩むっていうのはいろいろ考えることですね でいろいろ考えてそして最後に決めただから順番としては悩む
(00:08:13) そして最後に決めるこれがはこれはわかりやすいですね そうするとあの
(00:08:20) まずは先にって書いてあるけどこれは先っていうのは前っていう意味だから分の 意味としてはちょっと変になってしまう
(00:08:28) あとはねところっていうのは使い方としては何かをしている時っていうような使い方で あの出てくるものなのでこれもちょっとおかしいですね
(00:08:38) あとは通りっていうのはですねこれはあの 通りって結構初級の方で出てくる文法だと思うんですけど
(00:08:47) 意味としてはねイコールですね同じなんですよ だから
(00:08:53) さっき言った通りにやってくださいみたいな使い方をしますよね だから
(00:08:59) もしねこれ悩んだ通りって言ってしまうと 悩むと決めるがイコールになっちゃう
(00:09:07) でも悩むっていうのは決められないからいろいろ考えるっていう意味なので 決められないから考えると決めたは絶対にイコールにならないからこれも通りって
(00:09:18) 選んでしまうと文の意味がおかしくなってしまいます ってことでこれは悩んだ末にっていう2番が答えです
(00:09:27) はいじゃあ続いて次の問題35番ですね えっとこれはね
(00:09:32) えっと問題文に挙句って書いてありますね えっとこれもねさっきの末にと同じでなんかいろんなことをしてそして最後にっていう意味
(00:09:42) なんですけど まあ挙句はねあのだいたい悪い話に使います良くない結果になった時ですね
(00:09:49) で挙句と書いてあるんですけど1234の選択肢を見るとこれは みなさんの大っ嫌いな
(00:10:00) 試液とか受け身とかの問題ですね でこれはねうんとプリンターの調子が悪くなったからあの電話で質問したんですよね
(00:10:13) そしたら向こうの人電話で話している人に 質問あの自分がされたんですねで自分がわかんないから電話で質問したのに向こうに質問
(00:10:27) されたそして自分は答えたんですよね でいろいろ自分が答えたんだけど最後にはそれはちょっと対応できないっていうふうに言われた
(00:10:38) だからまあ 嫌な話ですよね
(00:10:43) 調子がプリンターの調子が悪い電話したらいろいろ聞かれた そして最後には対応できないって言われた
(00:10:50) なので挙句っていう言葉を使ってるんですけどじゃあねここの答えになるのはどれ なのかというと質問した人は電話の向こうの人ですね
(00:11:00) そして答えたのは自分ですよね でその答えるいろいろ質問されて答えたんだけど答えるのが
(00:11:09) まあいろいろあったからね めんどくさかったしかも対応できないって言われた
(00:11:14) ってことでその答えるのが嫌だったっていうそういう気持ちなので嫌だけどでもした っていうのは刺激受け身ですね
(00:11:24) そうすると本当にか4のさせられるかさせられたになるんですけど これは挙句の意味を考えるといろんなことをしてそして最後にダメだった
(00:11:38) っていう意味だからこれもねさっきの末にと同じようにた系を使ってください だから答えさせられたっていうのが答えです4番ですね
(00:11:51) 8この刺激受け身ってねやっぱりわかりにくいっていう人多いと思うんですが 刺激受け身はやりたくないけどでもやれって言われたから自分がすることです
(00:12:03) 刺激受け身は自分がするんですよ 試液っていうのは試液だけだったら自分じゃなくて他の人にしてくださいって
(00:12:10) いうこと この辺ねやっぱり n
(00:12:14) 4 n 3 n 2のあたりでよく出てくるんですがわかんないっていう人が多いので あの落ち着いてよく考えてみてください
(00:12:23) はいじゃあもう一個を言ってみましょう次は36番の問題ですね あとこれはねーそんなに難しくないというか意味がわかりやすい
(00:12:35) 文法かなと思うんですがうんと 仕事を断ることができないんですね
(00:12:41) だから断れないんだったらもう残された選択肢は引き受けるだけですよね だから答えはあのしかないっていうのを選べばいいんですが
(00:12:53) ただねしかないの形がちょっと変わっちゃってますね あるまいっていう選択肢が2つあります
(00:13:01) えっと答えは先に言っちゃうと4番なんですけど引き受けるしかあるまい このあるまいって何なのかというとないだろうっていう意味です
(00:13:13) だからね引き受けるしかないだろう 引き受けるしかないでしょうっていうのが引き受けるしかあるまいの意味なんですけど
(00:13:22) まああるまいって言うとねちょっと硬い言い方ですね あの
(00:13:27) 古い文法なんですよ昔の文法が今でも残ってる で昔の文法が残ってるっていうタイプの表現はだいたいね
(00:13:37) 硬い表現でビジネスだったりとか あのレポート書くレポートとか論文とか書くようなそういう日本語ですね
(00:13:46) はいじゃあとりあえず今4つの問題の説明しましたが やっぱりN2ってね難しい文法が多いのでちょっと説明時間かかっちゃいますから
(00:14:00) 1回ここで終わろうかな うーんと
(00:14:04) そうだなあと 2回ぐらいで問題7の説明全部終わるといいな
(00:14:11) えっと jlpt 7月ですからねあの本番が始まる前に 全部終わらせられるように頑張ります
(00:14:19) 8忙しくてできなかったらすみません
(00:14:24) うーんと じゃあ今日はね1回この辺で終わりますが続きできるだけ早く作れるように頑張ります
(00:14:30) 8それから最後にまた連絡というかお礼ですがあの ペイパルで応援してくれる方がたくさんいらっしゃいます本当に嬉しいですありがとうございます
(00:14:39) 皆さんの応援のおかげでポッドキャストを続けられています 8寄付をいただいても何か特別なお返しはできないんですが
(00:14:48) たくさん応援してもらうと俺もやる気が出るのでエピソードの量がちょっと多くなるかも しれません
(00:14:56) はいじゃあ8今日はこの辺で終わりますが8次の 文法の説明楽しみに待っててください特に4月に試験を受ける人ですね
(00:15:05) ぜひ頑張ってもらいたいと思います じゃあまた次のエピソードでお会いしましょうさようなら
