ep. 218 - 最近のニュース(N3)

(00:00:00) 皆さんこんにちはともですこれは日本語を勉強している人のためのポートキャストです
(00:04:47) コロナの対策をしてきましたね で日本でも今またコロナが増えてきたから
(00:04:54) あの どうしましょうかという話をしています
(00:04:59) 8去年とかねコロナが流行り始めた時にはまだどんな病気かもよくわからないし コロナにならないようにコロナが広がらないようにと言って
(00:05:10) 緊急事態宣言とかね あのいろいろ
(00:05:14) せ政治政府がね動いてそして あのいろんな対策をしてきましたが
(00:05:22) 今回はあの頃なの人がね増えて危ないとは言っているんですが それでもね今までよりはちょっとね行動制限
(00:05:33) まあつまり外に出ないでくださいとかお店に行かないでくださいとか イベントはしないでくださいみたいなそういういろいろな制限は
(00:05:44) コロナの人は増えたけど前よりもあの 制限が少なくなってますね
(00:05:51) まあこれもやっぱりワクチンを打つ人が多くなってそして 8以前よりもコロナにかかっても重症になりにくいっていうこととか
(00:06:04) コロナの薬ができたこととかそういうのが関係しているんでしょうね 早く猫の新型コロナの薬とかねあのちゃんと効くワクチンとかができて普通の風と
(00:06:17) 同じように扱うことができればいいんですけど まあそれにはまだちょっと時間がかかりそうですね
(00:06:25) とりあえず今はコロナの人が増えるとニュースになるぐらいなのでまだまだ普通の 風とは言えませんね
(00:06:33) 8それじゃあもう一つだけニュース紹介しておきましょう 8これも今日のニュースなんですが
(00:06:40) えっとね今ね今というか今日なんですけど 雨がすごいです
(00:06:47) すごいですって あの
(00:06:50) 雨がねたくさん降るというニュースが出ています えっとこれはね
(00:06:57) 洗浄香水体っていう結構新しい日本語が今ニュースに出てるんですけど 最近ねー
(00:07:06) 最近というかあのここ何年か 天気に関係する新しい日本語っていうのが多くなっている気がします
(00:07:17) んとこの前ねちょっと 猛暑日の話をしましたねとても暑い日の話
(00:07:23) 猛暑日っていうのも結構新しい日本語だし 8雨に関する
(00:07:29) 日本語だと今言ったこの洗浄香水体とかあとは 俺が大人になってからだとゲリラ豪雨っていう言葉も
(00:07:41) あのよく使われるようになったなと思います 8昔よりもね
(00:07:48) 日本って言うか地球全体がどんどん暑くなっています この世界がどんどん暑くなることを温暖化と言うんですけど
(00:07:58) この温暖化が進んで天気も昔と変わっているので その昔と違う新しい天気だから新しい日本語も作られています
(00:08:10) そしてこの洗浄香水体っていうのは何かというと 洗浄
(00:08:16) 線の形っていうことですね香水体っていうのは雨が降る場所という意味です だから線の形の雨が降る場所
(00:08:27) 長い線ですね 8
(00:08:30) 雨が降る場所ってつまり雨雲雲があるところですけど そのね雨の雲雨雲と言いますが雨雲が線の形になってずっと続いていて
(00:08:42) そしてその雨雲があるところでたくさん雨が降る それが洗浄香水体でこれもねー
(00:08:50) あのまあ20年ぐらい前からあったみたいなんですけど ここ数年この洗浄香水体が多くなっていてあの天気予報とかでも
(00:09:01) この洗浄香水体がありますよっていうそういうねニュースが出るようになりました だからニュースでこの言葉を聞くのは結構最近になってからですね
(00:09:12) で今回はこの洗浄香水体っていうのが九州の方で あの発生するので雨がたくさん降ります気をつけてくださいという話になっています
(00:09:26) 雨がたくさん降るとね危ないですからね あの
(00:09:32) もちろん川の川の水とかが多くなって流される危険性だってあるし 山に雨がたくさん降ると土砂崩れと言って山が崩れてしまう
(00:09:46) 山が壊れてしまって土がたくさん流れてきて道路とか家とかを流してしまう そういうこともあるので大雨が降るときには気をつけてくださいというニュースが出ます
(00:10:00) はいじゃあ今日はね日本の最近のニュース3つ紹介しました 安倍晋三元首相の話とあとはコロナの話
(00:10:10) そして洗浄香水体の話の3つです ニュースの日本語ね難しいと思いますけど
(00:10:18) あの 日本人の友達とね話をするならやっぱりニュースの話題が出ることはありますからね
(00:10:28) 8難しいと思いますが頑張って日本のニュースも見てみてください日本語の勉強にも なると思いますしね
(00:10:36) じゃあ今日はこの辺で終わりにしたいと思います 8このポッドキャスト役に立ったこのポッドキャストが大好きですという人いたら
(00:10:44) 8ペイパル載せておくので応援していただけると嬉しいです ではまた次のエピソードでお会いしましょうさようなら
