ep. 016 - 夏休み(N4)

みなさんこんにちはTOMOです
これは日本語を勉強している人のためのポッドキャストです 教科書の日本語は面白くない
俺の夏休みの過ごし方はね、あの今話した通りあまり面白くないので 俺の周りの人とかあとはテレビのニュースとかでよく見る話を紹介したいと思います
夏休みというのは長い休みですね まあ働いている人はあまり長くないかもしれないけど
学生は1ヶ月ぐらい休みがありますからいろいろなことができます 長い休みと言ったらやっぱりみんな旅行が好きですね
旅行と言っても 遠いところに行く旅行もあるし近いところに行く旅行もありますね
近いところ 自分の国の中の旅行を国内旅行と言います
自分の国の中、国内なら電車とかバスとか あとは車やバイクを持っている人は自分の車で
外国に行くよりも時間もお金もかけずに遊びに行くことができますね 遊びに行くところは
有名な観光地とか遊園地などだけじゃなくて 夏は暑いので海や山に行く人もとても多いです
旅行じゃないけど大きいプールに遊びに行ったりする人も多いですね 特に小さい子供がいる家族はプールに遊びに行く人も多いんじゃないかと思います
例えばプールだと 日本の福島県というところには
ハワイがあります 皆さんハワイわかりますか
アメリカの島の名前ですね 日本の福島県にはハワイがあるんです
もちろん本物の本当のハワイじゃありませんけどね
福島県にはハワイアンズという大きいプールがあります 福島県の山の中にあるんですけどそのプールの中には
いろいろなハワイのものがあります ハワイにある木もあるしそのプールでハワイのダンスを見ることもできます
俺も子供の頃に行ったことがあるけどなかなか楽しいところです ハワイに行くお金と時間がない人にはいいかもしれませんね
そして他に日本人が夏休みによくすること 他には学生だとアルバイトをたくさんする人もいます
学校が休みだからいつもよりもたくさんアルバイトができます それに夏休みの間は
普通よりも仕事が多いですいろいろなアルバイトがあります 夏休みで遊びに行く人が多いからだから夏だけのアルバイトが結構たくさんあるんです
例えば海の家とかですね 海の家というのは
海の近くにある 食べ物とか飲み物とかあとは海で遊ぶものを売ったりする店です
夏になると海へ遊びに行く人が多くなるから 海で遊んでいる人が疲れたときにちょっと休んだりご飯を食べたりできる場所
それが夏の間だけ海の近くにあります その海の家は夏の間しか空いていませんから
夏だけの夏休みだけのアルバイトで学生が働いたりすることが多いです それから学生のみんながすることといえば
遊ぶだけじゃなくて宿題ですね 日本の学生は夏休みになる前にたくさん宿題をもらいます
真面目な人は毎日少しずつ宿題をするから ちゃんと夏休みが終わる前に全部できるんですけど
真面目じゃない人は あまり宿題をしないので 夏休みの最後の3日ぐらい
たくさんたまった宿題を 一生懸命やらなければなりません
俺はあまり真面目な学生じゃなかったので 夏休みの最後の2,3日ぐらいは毎年大変でした
毎年ねその夏休みの最後に宿題をしているときは 来年は毎日ちょっとずつやろうと思うんですけど
でも 夏休みになると遊びたくなるんですよね
後で大変だっていうのはわかっているんですけどね どうしてでしょう
皆さんも同じですか
さあ他に夏休みにすること 学生だけじゃなくて
大人も夏休みがあります 大人が夏休みにすることといえば
里帰りです 里帰りっていうのは自分が生まれて育ったところに帰るということです
大人になって大学に行ったりとか会社に入ったりすると 自分が生まれたうちを出て遠いところに引っ越しする人も多いです
でも夏休みを使って 特にお盆の時期は
自分が生まれたうちに帰る人が多いです お盆っていうのは
だいたい8月の真ん中ぐらい 8月13日ぐらいですね
それがお盆の時期です どうしてお盆になるとみんな家へ帰るのかというと
このお盆の時期には なんと
死んでしまった家族とか昔の人が家へ帰ってきます
びっくりですね ちょっと怖いですね
ですからその昔の人とか死んでしまった家族とかが家に帰ってくるので 自分も家に帰ってそして家族みんなで一緒に過ごしたり
お祈りをしたりとかします ですから8月の12日とか13日ぐらいの
電車新幹線バス 全部とっても混んでいます
そしてお盆が終わる15日とか16日ぐらいも やっぱりとても混んでいます
夏に日本に旅行に行きたい人はお盆の時期気をつけてくださいね 電車や新幹線に乗れないかもしれませんからね
さあそれじゃあ簡単ですけどねこれが日本の夏休みの過ごし方
もちろん夏休みは長いですから他にもいろいろなすることがたくさんあります 皆さんも日本の友達がいたら夏休みにどんなことをするか聞いてみてください
それじゃあ今日はこの辺で終わりましょう 何か質問や意見感想などがあったらメールツイッターでお願いします
皆さんからのメッセージがこのポッドキャストをもっともっと良くしてくれます ぜひお願いします
それじゃあさようなら
