ep. 087 - おすすめの本(N3)

(00:00:00) みなさんこんにちはTomoです これは日本語を勉強している人のためのポッドキャストです
(00:05:29) かっていうのを説明している本です そんなにね専門的な話じゃなくて誰でも分かるような
(00:05:39) 初心者向けの本が一冊あって野矢茂先生っていう先生が書いた本なんですけど 入門論理学っていう本で
(00:05:49) これはね結構面白いなと思いました まあ初心者向けとはいえ日本人でも結構難しいと思うので
(00:05:56) 外国人のね日本語を勉強している人にはちょっとね大変かもしれませんが n 1とかそのぐらいになったら結構ね
(00:06:06) 面白いんじゃないかと思います それからもう一冊もう一冊っていうかもう一人ですね
(00:06:15) これが結構好きな人 それが誰かというと
(00:06:19) 教育学とかあとは国語の先生ですね 日本語を教えることもちょっとやってるみたいなんですけど
(00:06:28) 斉藤孝先生っていうその人が書いた本 この人は多分一番の専門は国語かな
(00:06:39) 日本の学校で日本人に その国語を教える国語っていうのは自分の国の言葉ですね
(00:06:48) 日本だったら日本語だし中国だったら中国語 アメリカだったら英語とかね
(00:06:53) その国語の先生なんですが やっぱり国語の先生だから本の読み方についての本を結構たくさん出しています
(00:07:03) この先生もさっき最初に話した即読の本も出してるし あとは本の読み方で即読じゃなくて
(00:07:12) ボールペンを使った読み方とか 本を読むときに何も持たないで何も書かないで読むんじゃなくて
(00:07:21) ボールペンを使って本にいろいろ書きながら読むと 本がとてもよくわかるようになるっていうそういう読み方ですね
(00:07:30) そういう本の読み方についていろいろ本を出しているので この人の本も何冊かね読みました
(00:07:39) 結構面白いなと思ったのがあります あとは他に俺がよく読む本っていうのは
(00:07:47) やっぱりその日本語教育 つまり日本語の先生のための本っていうのがほとんどなので
(00:07:56) ちょっとね日本語を勉強している人におすすめできる本っていうのが あまりないんですよ
(00:08:03) 日本語を勉強している人っていうか 日本人にもおすすめできる本があまりないかなと思います
(00:08:12) いつもねなんか難しそうな面白くなさそうな本読んでるっていうふうに言われます 俺はね読んでる本には面白いと思ってるんですけどね
(00:08:23) ってことであの本のおすすめなんですが 俺がおすすめできる本は今日話した本の読み方についてとか
(00:08:34) あとは考え方についてですね こういう本が俺は面白いなと思ったので皆さんもぜひ読んでみてください
(00:08:45) いやもしかしたら面白くないかもしれないから読まなくてもいいですけどね 俺は面白いと思いますよっていうだけです
(00:08:54) はいじゃあ今日は本のおすすめの本の話でした 皆さんも何か面白い本をしていたらぜひ教えてください
(00:09:02) それじゃあ今日はこの辺で終わりますさようなら
