ep. 043 - ビーガンの食事(N3)

(00:00:00) みなさんこんにちはTOMOです これは日本語を勉強している人のためのポッドキャストです
(00:09:52) もともとヴィーガンっていうのは日本の文化には なかったものなので
(00:09:58) だから今ね まだ日本ではそのヴィーガンの人のためのものっていうのはちょっと少ないんですけど
(00:10:07) 日本は今オリンピックもあるし だからあの
(00:10:12) 今までの日本だけの文化じゃなくって 他の国のいろんな文化を今頑張って日本の中に入れているところなので
(00:10:24) ちょっとねまだ ヴィーガンとかは少ないんですけどでもゼロじゃありませんから
(00:10:31) まあヴィーガンの人がね日本に旅行に来るとちょっと大変なところもあるかもしれませんが でも
(00:10:39) そのレストランとかだったらお店の人に相談することもできますから だから日本に来るのを諦めたりしないで
(00:10:49) 何かこう 日本に来る前に
(00:10:52) ヴィーガンの食事ができる店を探しておいたりとかしてそして 自分の食事を守りながら日本の旅行も楽しんでくれると嬉しいなと思います
(00:11:05) はいということでこれが日本でのヴィーガンの食事についてです 本当ねヴィーガンだけじゃないんですけど文化の違うところに行くっていうのは
(00:11:18) 楽しいこともありますが大変なこともあるので あの旅行もね楽しいことだけじゃないかもしれませんが
(00:11:28) でもそれでも 諦めずに日本に来てそしていろんなことを楽しんでくれると嬉しいなぁと思います
(00:11:37) 日本もねそういういろんな文化の人が来て楽しめるように いろんな文化を尊重できる
(00:11:46) 尊重というのはその大切にするということですね 尊重できるように変わっていけたらいいなと思います
(00:11:54) 俺もね日本語の先生しているのでいろんな国の人と話をするから だからいろんな文化を尊重
(00:12:03) しないといけないなと思ってできるだけね 他の人の文化を大切にできるようには頑張っているつもりです
(00:12:11) あそうそうそれと最後にもう一つ 今日このリクエストをくれたケイシャさんなんですけど
(00:12:19) そのレストランとかに行った時にビーガンの料理について質問するときにどういうふう に聞けば丁寧に質問できるかっていうふうに気にしていました
(00:12:32) すごい優しい人っていうか丁寧な人ですね マナーを守ったり他の人に丁寧にしたりするのを礼儀正しいと言いますが
(00:12:45) このケイシャさんもすごい礼儀正しい人ですね じゃあそのお店の人に丁寧に聞く言い方ですけど
(00:12:55) ビーガンの料理についての質問の仕方は今日最初にちょっと話しましたが 質問をする前にお店の人に話すときには最初に
(00:13:06) すみませんちょっと伺いたいことがあるんですけど っていうふうに言うと丁寧な質問の仕方になります
(00:13:17) それからお店の人にビーガンの食事について聞いて そしてお店の人がじゃあ今確認しますからちょっと待ってくださいとか
(00:13:28) あの今作る人に聞いてきますからちょっと待ってくださいとか そういうふうに言ってくれたらその時はちゃんとありがとうございますとか
(00:13:40) お手数をおかけしてすみませんとか言うといいですね お手数をおかけしてすみませんっていうのは
(00:13:50) 大変なお願いをしてすみませんっていう意味です このありがとうとかすみませんとかをちゃんと言えると丁寧な話し方になるので
(00:14:01) お店の人も嫌な気持ちにならないと思います この言葉っていろんなところで使えるのでこれを聞いている皆さんもぜひ覚えてくださいね
(00:14:12) はいそれじゃあ今日は日本に旅行に来るときに気をつけることとか あとはその知りたいことについてでした
(00:14:21) 皆さんもこんな風に何か日本について聞いてみたい話とかがあったらぜひリクエストを 送ってください
(00:14:29) それじゃあ今日はこの辺で終わりにしましょう さようなら
