ep. 047 - 令和(N3)

みなさんこんにちはTomoです。これは日本語を勉強している人のためのポッドキャストです。
教科書の日本語は面白くない。でもドラマや映画は難しすぎる。 そんな人のために日本語教師のTomoがちょうどいい日本語で話をします。
言語を使う和暦っていうのも使いたいなと思います ちなみに日本に遊びに来る外国人の人とか
あとは日本に住んでいる人がいたらその和暦の方の数え方も覚えておくといいですね 時々自分の誕生日を書くときに西暦を書くところがなくて
和暦だけの時もありますから だから皆さん自分の誕生日が 日本の和暦で何年なのかっていうのを覚えておくといいですね
20代までは平成です 20代までってあの
29歳ですね あと平成は31年まであったからそのぐらいの年の人も平成生まれかもしれません
それよりも年上の人 32歳とか
40歳とか50歳とかその人たちは昭和生まれです なので自分の西暦は昭和何年か
平成何年かっていうのをインターネットを使うとね すぐに調べることができますからぜひ調べてみてください
この自分の国の年の数え方がある国って 日本だけじゃないですよね
結構いろんな国にその数え方があると思うので皆さんの国では今何年なのか いろいろ教えてください
さあそれじゃあ今日はこの辺で終わりにしたいと思いますが ここ数日2,3日くらい
あの 1日のこのポッドキャストの再生回数がすごく多くなってます
1日に1000回ぐらいこのポッドキャストが聞かれているみたいですね なんかこんなにたくさん聞かれているのちょっと怖いような気もするんですけど
でもいろんな人に聞いてもらえてとても嬉しいです ぜひあのこのポッドキャスト聞いて何か意見とか感想とかあったら教えてください
皆さんからのメッセージ楽しみにしてます それじゃあさようなら
