ep. 074 - JLPT公式問題集1の解説-N3文法問題2(N3)

(00:00:00) みなさんこんにちは、ともです。これは日本語を勉強している人のためのポッドキャストです。
(00:03:49) 日本アメリカ中国韓国フランスいろんな国があるけど 全部の国で違う言葉を話します
(00:03:57) こういう時は国によって話す言葉が違うと言います でこの問題はこのによってを使うんですが
(00:04:07) によっての前は名詞なのでこの中で名詞はこの選ぶ言葉の中だと 1番の時間っていうのとあとはその前ですね
(00:04:20) 曜日がありますこれは曜日と一緒に使いましょう曜日によってです そしてによっての後ろには
(00:04:30) あのだいたいによっての意味が全部違うという意味だから違うとか あとは違うと同じ意味の言葉で異なるとかそういう言葉がきます
(00:04:43) じゃあ違うっていう言葉ですが違うの使い方は何が違うって言う何がの言葉が ないといけないのでこれは
(00:04:52) えっと最初が3でその次に142ですね 3142の順番です
(00:05:02) えっとによっての使い方はちょっと注意で難しい使い方もあって にの前が名詞じゃなくって
(00:05:10) 文の時があります文の時は質問 8まあ疑問文って言うんですけどその質問の分です
(00:05:18) 例えばじゃあ疑問文でどんな感じかっていうと 例えば
(00:05:23) 1ヶ月に何時間働いたかによって 税金が変わるとか
(00:05:32) ちょっと難しい文かな税金とかいうと8他にも じゃあ1日に何時間勉強したかによってテストの点が変わるとか
(00:05:44) たくさん勉強したらテストの点が高くなりますね そして勉強時間が少なかったらテストの点が低くなります
(00:05:53) 勉強した時間が変わるとテストの点も全部同じじゃないですね こういうふうにによっての前はそのかを使った疑問文の時もあります
(00:06:05) これがによっての使い方ですね 次の問題はまた
(00:06:10) えっとその疑問詞を使う疑問文ですね 疑問詞っていうのはその質問するときの言葉なんですが ちょっとこれ注意したいのは最後がわかりましたって書いてありますね
(00:06:24) でわかりましただから すぐにわかりましたの前はがだと思ってことがわかりましたっていうふうに言いたくなると
(00:06:33) 思いますがちょっと違います これはね疑問文を使うものなので
(00:06:40) ことかわかりましたっていう えっと3番がね最後に来る分です
(00:06:46) じゃあ全体を見るとどんな分になるのかって言うと これは
(00:06:52) うんと野菜を育てますそしてそれがとても大変です それがわかりました
(00:07:00) という分ですねで野菜を育てますが大変です ということはできません
(00:07:08) 育てますって同士ですねそしてがは女子です どうし同士とがっていう女子を一緒にそのまま使うことができないので育てることが大変
(00:07:20) っていうふうにことを使います でちょっと注意なんですが
(00:07:26) えっと選ぶ言葉の中にどんなにっていう言葉がありますね これはなけよしとかに使う疑問の言葉
(00:07:34) 疑問詞って言うんですけどその疑問詞なので大変っていうな形容詞の前にどんなに と言いましょう
(00:07:42) なので答えが1423の順番ですね ちなみにこれはどんなに大変なことかわかりましたって言ってますが
(00:07:54) あの どんなに大変なことかがわかりましたっていうふうにがを入れて言ってもいいです ただかの後はがは言わないときも多いので
(00:08:04) あのどっちもね大丈夫だっていうことを覚えておきましょう じゃあ続いて今度は17番見てください
(00:08:12) 817番は今度は するの使い方に気をつけましょう
(00:08:18) するっていう言葉はいろんな意味があるんですが この17番の a と b の2人の会話は
(00:08:25) パーティーで歌う歌をどれにしましょうかっていうふうに考えていますよね たくさんある中からどれか一つを選ぶっていう意味のするの使い方です
(00:08:38) a の人がこれでいいですかって言ってますが b の人はすみませんと言いましたね だから b の人は違う歌を選びましたその選ぶっていう意味のするを最後に使ってして
(00:08:51) 欲しいと言ってます あとはどうして違う歌がいいのかという理由も言ってますね
(00:08:58) 8違う歌がいい理由は難しいですね まずは理由のからを最初にして難しいですからそしてその次
(00:09:09) 違う歌っていう意味の言葉他ですね 他とかあとは別のって言ってもいいですね
(00:09:17) で違う歌他の歌と言いたいんですが 何回も歌歌歌歌って同じ言葉を言うのはあまり
(00:09:28) 良くないですね 1回前に話した言葉っていうのは言わなくてもいいんです
(00:09:34) だから他の歌じゃなくて他のだけで大丈夫です そして最後は
(00:09:42) 8この選ぶっていう意味のするの使い方は セットで覚えるといいんですけどにを使いますにする
(00:09:51) これにするとかあなたはどれにしますかとか だからするの前になので最後はにですね
(00:09:58) ってことで答えは4213の10万です
(00:10:06) じゃあ最後8最後は18番 これは
(00:10:12) 言葉を1234見るとたいっていう言葉が2つ入ってますね これが難しいとこですねしかもしたいとやりたいってだいたいどっちも
(00:10:24) 同じ意味の言葉ですね 子供がしたいなのか子供がやりたいなのかどっちかですね
(00:10:33) 8これは したいとやりたいだけを見ると
(00:10:38) 答えがわかんないんですが他の言葉を見ると答えがわかります 3番にやらせてって書いてありますね
(00:10:47) このてと一緒に使えるのはやりたいだけです やらせてやりたい
(00:10:55) いやーやりたいというのはあげたいと同じ意味ですね てあげるっていう文型を多分皆さん勉強したと思いますがそれと同じで
(00:11:05) てやるの使い方ですね えっとするっていうのはてするという言い方ができない
(00:11:13) てと一緒に使うことができないのでこれはやらせてやりたい 3番と2番がセットです
(00:11:21) そしてこのやらせてやりたい やらせてやるっていうのがどんな意味かっていうと
(00:11:29) まあやらせてあげるでもいいですけどね 何かをやりたいと言ってる人にどうぞっていうのがやらせてあげる
(00:11:36) です なのでこれは子供がピアノを習いたいって言ってるから私がどうぞって言ってあげる
(00:11:44) ことです なので答えは
(00:11:47) えっと 1423の順番ですねしたいと思うことはやらせてやりたい
(00:11:57) あごめん間違えましたえっと1432です失礼しました したいと思うことはやらせてやりたい3と2がセットですね
(00:12:07) はいじゃあここまでがこの並び替えの問題 えっと問題数がちょっとね5問しかありませんが
(00:12:15) 次の問題も説明しているとちょっと長くなりそうなので今日は1回ここまでにしたい と思います
(00:12:21) でこの並び替えの問題解くときのポイントは えっと今日もね何回か言ったけどどの形の言葉がどの言葉とセットになるのか
(00:12:33) っていうことに気をつけるこれがとても大事です まあ例えば最初のだったらんですかの前は普通形とか
(00:12:41) あとはて系と一緒に使うのは上げるとかやるとか こういうふうにどんな言葉とどんな言葉そしてどんな形
(00:12:51) これをよく考えてそして言葉を見ていくと答えがわかりやすくなります はいじゃあ文法の問題はあと次の問題で終わりですね
(00:13:03) 次の問題3はちょっと長い日本語を読んでそしてそれにえっとそこで使う文法を考える っていう問題です
(00:13:13) この辺からねだんだん長い日本語が出てきて難しくなると思いますが頑張ってください じゃあ次のこの文法の解説始まるまで皆さんも頑張って
(00:13:25) 続きの問題を解いてそして この今まで行ったところは間違ったところがあったらよく復習しておいてください
(00:13:34) じゃあ今日はこの辺で終わりにしたいと思いますさようなら
