ep. 156 - 学生生活(N2)

(00:00:00) みなさんこんにちはともですこれは日本語を勉強している人のためのポッドキャストです
(00:07:15) そういうのを 生徒が自分で作るっていうのはちょっと難しいかもしれませんけど
(00:07:21) でも あの学校の中の生徒からこの校則はちょっと変だとか
(00:07:26) これは古いから変えた方がいいとか何か意見が上がってきたらそれについて生徒会で話して で
(00:07:34) その生徒会でまとまった意見をそこだけでは決められないんですけど それを上に上げるつまり先生たちに相談して生徒たちはこういう意見ですって言って
(00:07:46) 学校と先生たちと交渉して学校のルールとか制度とかを変えるとかね そういうこともできることがあります
(00:07:57) だからもう本当に生徒会っていうのは学校の中の政治家ですね だから学校の授業のほかにその政治の仕事もあるから生徒会って結構忙しいんですけど
(00:08:08) でもやっぱりそういう人をまとめて国を動かす練習ですね 学校を動かすっていう仕事をしてるから
(00:08:17) 自分は生徒会長をやってましたなんていうと 将来就職する時とかですねそういう時に何かいい経験をした人だなっていうふうに
(00:08:26) プラスに評価されることが結構多いです だからそのプラスの評価のためにね
(00:08:32) いい大学に行ったりとかいい会社に入ったりするとか そういう評価のために生徒会をやるっていう人も
(00:08:38) まあいるみたいですね 学校っていうのはその社会に出てからのいろいろな
(00:08:46) 勉強ですよねそのためにあるところなので生徒会っていうのはその日本の政治みたいな 仕組みになっているし
(00:08:54) あとは学校全体じゃなくて実はクラスの中でもちょっと生徒会みたいな そういう仕組みっていうのはあります
(00:09:03) だから生徒会が日本全体の政治だとしたら 一つ一つのクラスっていうのは日本の都道府県みたいなもんですね
(00:09:15) 日本全体の政治っていうのはもちろんあるんですけど 日本の都道府県それぞれでもやっぱり県の一番偉い人がいてその県の
(00:09:24) 中だけのいろいろな法律みたいなルールとかを作ったりとかもしているので クラスはその県みたいな存在です
(00:09:34) なのでクラスの中で一番偉い人っていうのも中学校とか高校では決められています まあ小学校でもちょっとやるかな
(00:09:43) だいたいねそのクラスの中の一番偉い人って委員長とか言われるんですけど 一つのクラスの中で
(00:09:52) いろいろな仕事が分かれているんですよ クラスの中の仕事っていうと例えばあの授業の準備とかですね
(00:10:01) 体育委員っていうのがあって体育委員の人は体育の授業が始まる前に その体育の先生のところに行って何か授業の準備するものありますかって聞いたりとか
(00:10:13) あとは 中学校だと給食委員とかもありましたね
(00:10:18) 給食ってその学校が出してくれるお昼ご飯なんですけど その給食のメニューを確認したりとか給食を持ってきたりとかその給食に
(00:10:28) 関わる仕事をするっていうのが給食委員です でクラスの中でそのクラスの中の仕事をする委員っていうものがあってその委員を
(00:10:39) いろんな委員があるからそれをまとめるのが委員長って言うんです それがクラスの中で一番偉い人
(00:10:47) だから学校の中全部でも政治みたいな制度があるし クラスの中でもそのクラスの中をまとめるっていう小さい政治みたいな仕事があるんですよ
(00:10:59) そうやってそのいろいろな 政治みたいな体験をしていくことで社会に出る準備をするっていうのが学校ですね
(00:11:10) まあ子供の時はねそんな難しいこと考えないんですけどね 大人になってからその生徒会とかのシステムを改めて考えてみると
(00:11:19) すごいよくできてたなというふうにちょっと感心します なんかね今考えると生徒会とかもっとやっとけば面白い体験できたかもなっていう気がしますね
(00:11:30) ちなみにこの学級委員クラスの委員っていうのは1年に 1回か2回くらい決めるんですよ
(00:11:41) 1年間ずっと同じ仕事する学校もあれば1年の中でちょっとこう 別の委員に変わるっていうような学校もあります
(00:11:50) でこの委員を決めるときって結構ドキドキするんですよ なんでかというと
(00:11:57) まあまずねめんどくさい委員にはなりたくないんです みんな
(00:12:02) まあそうですよねあの学校の勉強のほかにもいろんな仕事をやらなきゃいけないんだから大変ですよね
(00:12:09) だからめんどくさいのにはなりたくない だからできるだけ楽なのを選びたいっていうのがあるんですけど
(00:12:17) それだけじゃなくて 自分の
(00:12:20) 仲のいい友達と一緒の委員になりたいとか自分が好きな人と同じ委員になりたいとか あとは好きな人じゃないけどすごい綺麗な可愛い人がいたらその人と同じになりたいとか
(00:12:36) いろんな 希望というか欲望というか
(00:12:41) そういうのを持って委員を決めるんですよ だからねあのクラスの中でその学級委員を決めるときに
(00:12:50) 結構ドキドキしてる人って多かったんじゃないかなと思います さてそれじゃあですねこれが日本の学校の中のシステムです
(00:12:59) 日本のアニメとか好きな人はねこういうのを覚えておくとアニメ見るときに楽しいん じゃないかなと思うので
(00:13:06) 日本のアニメとか映画とかドラマとか見ているときに これどんなシステムなんだろうって気になったことがあったらぜひねまたこうやって
(00:13:15) 質問してください そういう知識を持ってから改めて見てみるとまた違う面白さというのがあるかもしれません
(00:13:23) さてそれじゃあ3回連続学校の話になりましたが学校だけじゃなくてね 日本のいろんなことについて何か聞きたいことあったらまたどんどんリクエストを送ってください
(00:13:34) それじゃあ今日はこの辺で終わりにしますさようなら
