ep. 029 - ミニマリズム(N2)

みなさんこんにちはTOMOです。これは日本語を勉強している人のためのポッドキャストです。
教科書の日本語は面白くない。でもドラマや映画は難しすぎる。そんな人のために日本語教師のTOMOがちょうどいい日本語で話をします。
テーマはリクエストすることもできます。 リクエストがある人はツイッターやインスタグラムメールなどで連絡をください。
まあでももうすぐ10分くらいになるのでちょっと短めですけど あのすいませんが今日はこの辺で終わろうかなと思います
正直な話やっぱり自分の文化って あの自分の国の文化って
普段あんまり 意識して考えないと思うんですよ
なんでかっていうと自分にとってはそれが普通だから 普通すぎて
その文化の中に文化の中にいるのが当たり前すぎて 特別だっていう感じがしないからだからそれについてあんまり考えない
人が多いんじゃないかなと思うんですよ 俺なんかは外国の人とよくたくさん話すし海外にも住んでたことあるから
だから 外から
外国から日本を見たことがあるから それでこう日本の文化って他の国の人から見るとこんな風に見えるんだなっていう風に
びっくりしたこととかもあるんですけど それでもやっぱりまだまだ他の国の人から見ると日本はどうなのかっていうのは
わからないことがあるし わかんないことがこんなにたくさんあるっていうのもちょっと
しかも俺は日本語の先生なのにこんなに わからないっていうのはちょっと恥ずかしいんですけど
でも今日はそのミニマリズムっていうイメージを 日本は外国の人に持たれてるっていうのがわかったので
ちょっといい勉強になったような気がします こうやっていろんな人にテーマのリクエストをもらうとこのポッドキャストを聞いてる
人だけじゃなくて俺も勉強になるので面白いですね さあそれじゃああのリクエストをくれた
バーターさんにはちょっと申し訳ないんですけど こんな風に俺が知らないことについてのリクエストをもらうとあんまり話せないことも
ありますが それでも
あのいろんなテーマについて話ができるとかいろんなことについて考えることができる っていうのは面白いと思うので皆さんも何か
テーマのリクエストがあったらいろいろ送ってください それじゃあ今日はこの辺で終わります皆さんさようなら
