ep. 214 - JLPT公式問題集1の解説-N2問題11(N2)

(00:00:00) 皆さんこんにちはともですこれは日本語を勉強している人のためのポッドキャストです
(00:08:17) 一番やりたかったことはできなかったでも他ができたっていうのは3番ですね スポーツの話ですけど
(00:08:24) 一番やりたかったことは試合に勝つこと それはできなかったでも点を入れることができた
(00:08:32) 他のことはできたからまあいいや なのでこれがねあの具体例と同じような話になります
(00:08:40) はい続いて64番そことは何か えっとね読解でそこっていうのが出てきたらこれはね
(00:08:47) 前の部分見てください前っていうかね直前ですだいたい直前にあります そうするとね直前を見ると
(00:08:55) あの仕事は遊びじゃなくてお金をもらうんだから楽しくなくてもそれが当たり前だ という話です
(00:09:04) 仕事はね楽しくないのが当たり前楽しくないっていうのを別の言葉で言うと苦労する ということなので
(00:09:13) えっと苦労があるという一番が答えですね
(00:09:19) はいじゃあ最後ねえっと65番です65番は一番簡単なタイプの質問です 筆者の言いたいことは何かです筆者の言いたいことっていうのはもう必ずと言っていい
(00:09:31) ほど最後に来るので最後のところ見てください 最後の段落のさらに最後
(00:09:38) 仕事の話で 8充実感得られる仕事を手にするには充実感のある仕事をするには
(00:09:47) 小さなことでも楽しめるようになる それがポイントだと言っています
(00:09:53) ってことはあの小さなことでもねやった良かった楽しいって思うのが大切だ そうすると仕事がね楽しくなるってことなので
(00:10:04) 8この65番の答えは4番ですね このね一番言いたいことっていうタイプの質問
(00:10:11) もうだいたい最後にあるから最後よく見てくださいね 最後をよく見てればだいたい答えを見つかります
(00:10:18) よしじゃあちょっと長くなっちゃいますけど3つ目の言っちゃいましょう問題11全部 言っちゃいましょう
(00:10:24) 866番ですね 早く走る技術はなぜ難しいのかという話ですね
(00:10:30) あのなんでっていう質問なぜっていう理由のものはね まあ大体その近くに書いてあるんですけど理由を表す言葉に注目しましょう
(00:10:40) 理由っていうのはなぜならとかだからとかのでとかこういう言葉ですね そうすると猫のすぐ後ろに
(00:10:49) 教えられたように走るフォームを改善するのが簡単ではないからここにからがあります ただね
(00:10:56) n 2ってそんなに単純じゃないんですよねこれだけじゃまだ答えがわかんないんです 改善するのが簡単ではないからなんですけど
(00:11:06) これだけだとね1234のどれが答えかわかりませんもう少しを見ましょう なぜその改善が難しいのだろうとその次に書いてあります
(00:11:16) そしてなぜ難しいのかという答えがその次 実はのところですってことでここを見ると神経支配がしっかり出来上がっていると
(00:11:27) 書いてあるので答えは3番だね 走るための仕組みの走るための神経の仕組みがすでにできているから
(00:11:37) はいじゃあその次67番この場合えっと読解の時のこのそのっていうのはだいたいその 直前ですね
(00:11:46) 塗装それで直前を見るとトレーニングの効果が上がらない人はと書いてあります なのでもうこれだけで答えがわかりますトレーニングの効果が上がらない
(00:11:57) つまり効果がうまく現れないなので答えは2番だね はいじゃあ最後筆者によると走る技術を身につけるにはどうすればいいかですね
(00:12:10) えっとねまあこの文章はどんな文章なのかというと あのタイトル書いてありますね運動神経の科学誰でも足を速くなると書いてあります
(00:12:21) なので あの早く走る技術っていうのは要するにこの文書で一番言いたいことですなので一番
(00:12:28) 言いたいことまとめの部分見てくださいまとめの部分っていうのは最後ですね えっと最後を見ると動作をイメージしてそしてそれを体感するのが大事だと書いてあります
(00:12:43) はいそうするとねあのこれを別の言葉で言い換えてください 動作をイメージするイメージするっていうのは頭の中に描くってことですね
(00:12:52) そしてそれを体感する自分の体で感じるです ってことは同じこと言ってるの一番だね頭に描いてその感覚を体で感じる
(00:13:03) これが答えになります はいじゃあ問題11がねこれで終わりました
(00:13:09) あのちょっと説明が少ないかもしれないですけど 解くためのポイントのところだけね本当に大事なポイントだけを話しています
(00:13:19) で今日やった問題で大事なことっていうのはとにかくね 同じ意味の言葉をしっかり探すということですね
(00:13:27) 同じ意味なんだけど違う言葉になっているものっていうのがたくさんあります だから質問の分を読んでその質問とだいたい同じ意味の言葉を頑張って探して
(00:13:36) ください あと問題によってはその筆者の一番言いたいことは何ですかっていうタイプ
(00:13:43) これはね本当にもう最後を見ると答えがね面白いぐらいに簡単に見つかりますから このタイプが出たらやったと思ってください最後のところよく読みましょう
(00:13:54) 愛知はこれでね問題11の解説終わりにしたいと思います えっと次は問題12と本当1314あと3つですね
(00:14:04) 頑張りましょう 愛知は今日はこれで終わりますがあのこのエピソード役に立ったという人いましたら
(00:14:11) ペーパーの方に応援をお願いしたいと思いますちょっとでもいいので皆さんからの応援 いただけると嬉しいですよろしくお願いします
(00:14:19) ではまた次のエピソードでお会いしましょうさようなら
