ep. 063 - ことばの覚え方(N3)

(00:00:00) みなさんこんにちはTomoです。これは日本語を勉強している人のためのポッドキャストです。
(00:09:24) 例えばこのポッドキャストとかですね あと他にもね言葉の覚え方っていろいろあるだろうし
(00:09:32) 人によって本当に好きな勉強の方法とか 向いている勉強の方法っていうのが全然違うので
(00:09:42) 今日俺が話した多読とかねこれがあまり合わない人もいるかもしれません なので
(00:09:51) 一番いいのはね自分に合った勉強法っていうのを見つけることなんですけど でもどんな勉強の仕方をすればいいか全然わからないっていう人は
(00:10:04) 言葉を覚えるためにこの多読 できるだけ簡単なものをたくさん読むとか
(00:10:11) あとはできるだけ簡単なものをたくさん聞くっていう勉強の仕方を試してみるといい と思います
(00:10:20) さあそれじゃあ今日は新しい言葉の覚え方っていうテーマでしたが 皆さんもね
(00:10:28) 日本語の勉強 難しくて時々大変だとは思いますが
(00:10:34) 頑張って いろんな言葉を覚えてください
(00:10:38) 日本語もね日本語だけじゃないですけどね 外国語の勉強ってできるようになるとその読めるものが多くなったりとか
(00:10:48) 話せる相手が増えたりとかするのでどんどん楽しくなっていくと思います 大変なこともあると思いますが頑張ってください
(00:10:57) それじゃあ今日はこれで終わりましょうさようなら
