ep. 207 - 外国人が増えてからの日本(N3)

(00:00:00) みなさんこんにちはともですこれは日本語を勉強している人のためのポッドキャストです
(00:03:22) あとは東京だけじゃなくて田舎の方ですよね そっちの方に行く人が多くなったということかなと思います
(00:03:32) でそのね外国語が増えたっていうのは 本当にねいろんなところで言えますね
(00:03:39) 8例えば あの部屋を貸す不動産とかですね
(00:03:46) その不動産屋さんも中にねあの 日本語だけじゃなくていろんな国の言葉の説明を書いておいたりとか
(00:03:56) あとは あの
(00:03:59) 外国人向けのアパートとかですね 部屋とかがすごく多くなったと思います
(00:04:06) であの地域によってね あの
(00:04:11) たくさんいる国が違うので例えばベトナム人が多いところだったらベトナム語を 用意しておいたりとか
(00:04:19) あの その地域によって
(00:04:23) あの結構ね変化があるというか違いますね
(00:04:29) でえっとねあとはそうだね他に変わったものだと 日本人の意識とかも
(00:04:37) 変わったんじゃないかなと思います
(00:04:42) 俺がね子供の時は あの外国人を見るとあそこに外国人がいると思って
(00:04:50) ちょっとねびっくりじゃないけど珍しいものを見たなっていう気持ちになりました 日本ってあの
(00:04:59) 日本人てみんな同じ似たような顔ですよね アメリカとかはいろんな人種いろいろな顔の人いろいろなねあの
(00:05:12) えっと なんて言うんですか
(00:05:14) その色とか形とかが本当にもうバラバラですよね アメリカっていろんな国からいろんな人が来てそこでみんなで生活をして
(00:05:24) でそこで結婚して子供を作ってっていう風にするから あのいろんな人種いろんな人の種類が混ざっているんですけど
(00:05:32) 日本はねそれがないんですよね 最近はねあの
(00:05:39) ちょっと増えたと思いますけどやっぱり昔はね あの全然外国人が日本に住む日本で結婚して子供を作るとかがなかったので
(00:05:50) 外国人をね日本で見るとすぐにわかってで珍しいなっていうふうに思ってましたが 今はね外国人見ても全然珍しくないですね
(00:06:02) 俺の住んでるところは田舎だから外国人なんて全然いなかったんですけどそれでもね今 ここでね外国人見るのは全然珍しくなくなりました
(00:06:15) でえっとまぁさっきもねチラッと言ったけど日本では 外国人がね来てここに住んでそして子供を作って
(00:06:25) あの日本でずっと生活するということがとても少なかったので あの
(00:06:32) ハーフ昔はハーフって言ったけど今ダブルっていうのかな 日本人とあと外国人が結婚してできたその子供
(00:06:42) それがねとても少なかったんですけど今はねほんと多くなりましたね だから
(00:06:49) 学校にもあの一人だけじゃなくてたくさんいるし スポーツの
(00:06:56) あのチームとかを見てもね その
(00:06:59) 名前がカタカナの人とかね結構多くなってきましたし だからねそういうのも
(00:07:06) 変わってきたなぁと思います
(00:07:09) でその日本人の意識っていうか 考え方ですねその外国人を見ても驚かなくなった
(00:07:17) なので外国人に話しかけられるっていうのも あの
(00:07:24) 昔と比べてね びっくりしなくなったなぁっていう気がします
(00:07:29) 昔はねやっぱり外国人が少なかったから外国人に話しかけられると日本人ってすごい びっくりしちゃってたんですよ
(00:07:36) あの日本人は英語が下手だっていうのは多分 世界で有名な話だと思うんですけど
(00:07:42) だからねその日本人って本当に島国 島の国だから周りが全部海だから
(00:07:51) 外国とあんまり関わりがなくて外国語がねすごく苦手だったんですけど まあだからねあの
(00:08:00) 外国語で話しかけられるとすごいびっくりしてたんですけど 今はね
(00:08:06) 特に若い人なんかは学校であの英語を話す練習もたくさんするだろうし 外国人がすごく増えたから外国人に話しかけられてもびっくりしなくなったし
(00:08:19) 外国人があの 外国人の学生だね留学生がコンビニとかいろいろなところでバイトしているのも全然珍しくなくなったので
(00:08:30) 本当にその外国人と話すことに対して 抵抗とか驚きがなくなりましたね
(00:08:39) まあこれがねその日本人のやっぱりその意識の部分考え方で変わったところですかね
(00:08:48) あとね他に変わったところというと あの
(00:08:53) 日本の 習慣とかね文化とかそういうのも少し変わったなぁっていう気がします
(00:09:01) まあこれいいところも悪いところもあると思うんですけど 日本ってその
(00:09:09) 島国でねさっきも言ったけど島国で周りが海だからだからね他の国の文化がなかなか 入ってこなかったんですよ
(00:09:20) でも今は外国人も増えたしあともちろんテレビとかインターネットとかね そういうので外国の情報が簡単に手に入るようになったから
(00:09:31) それでね あの
(00:09:34) 日本の文化の中でも文化とか習慣の中でも外国と全然 違う部分があってで
(00:09:43) 外国ではこんなことしないんだとか 日本じゃしちゃいけないけど外国ではいいんだっていうこととかがどんどん分かってきて
(00:09:52) それで あの
(00:09:56) まあ悪い習慣とかはねなくなって きたなっていう気がするしあとはあの
(00:10:04) 逆に外国の良い習慣とかを日本も日本も真似するようになったなぁとか そういうのをね感じます
(00:10:14) ただねこれね俺はね 外国に住んでたこともあるし毎日外国人と話しているから
(00:10:22) 俺はちょっと 特別っていうか他の日本人と違うかもしれないんですけど
(00:10:29) だからねあんまり俺の意見は参考にならないかもしれないけど でもあの例えばね日本のその
(00:10:40) 日本人は本当の気持ちは全然言わないで あの嘘じゃないけどね本当は思ってないことを言うみたいな話をする
(00:10:52) 外国人とかは結構いると思うんですけど そういうのがなくなって本当の気持ちをあの
(00:10:59) ちゃんと話すようになった人も増えたと思うし だからその
(00:11:05) 考え方がね日本人の考え方とかも変わってきたような気がするし あの悪い習慣例えばねその
(00:11:14) 仕事で日本人が働きすぎだとかね そういうのも外国人がね日本で働くようになって
(00:11:22) 日本人のこういう働き方おかしいんだっていうところを 感じて
(00:11:27) そしてあの変だというふうに言ってくれる人が多くなったのかな だから今ね本当に昔みたいに働きすぎないように気をつけている
(00:11:41) 会社とかあとは人とかね日本人が 多くなったなあっていう気がします
(00:11:50) はいじゃあとりあえずね3つお話をしました 変わったところでまずは外国語が増えたっていうこととあとは
(00:11:59) あの外国人を見ても驚かなくなった 外国人と話すのもそんなに驚かなくなった
(00:12:07) そして8 日本の習慣がね色々変わってきたっていうことですね
(00:12:16) もちろんこれはね俺がそう思ったというだけで他の人は違うかもしれませんけどね でも
(00:12:24) 似たようなことを感じている人は多分結構いるんじゃないかなと思います
(00:12:30) はいじゃあ今日はねその外国人が多くなって日本がどう変わったかというお話でした 8
(00:12:39) またね何かリクエストとかあったら メールとかメッセージで送ってください
(00:12:45) あとはね前回のエピソードでもあの話したんですけどもあとインスタにもうちょっと載せ たんですけど
(00:12:52) paypal のアカウントを作りました ポッドキャストをいつも聞いていて応援したいという人がいたら
(00:13:00) 100円でもいいので10円だとねあのペーパーの 手数料で0円になってしまうので100円ぐらいからがいいかな
(00:13:10) 100円でもいいから応援したいという人がもしいたら メッセージをください
(00:13:17) あのね ペーパルの url をそのまま載せることはできないので1回メールかメッセージを
(00:13:25) ください 日本の法律でねそれがダメだっていうことが決まっているのでそれであのメール
(00:13:32) とかメッセージでちゃんと話ができる人は その俺のペーパルのアカウントを教えることができるので応援してくれる人がいたらぜひ
(00:13:41) メッセージをお願いします
(00:13:44) それじゃあ今日はこの辺で終わりにしましょう また次のエピソードでお会いしましょうさようなら
