ep. 039 - 日本留学(N4)

(00:00:00) みなさんこんにちはTOMOです。これは日本語を勉強している人のためのポッドキャストです。
(00:00:07) 教科書の日本語は面白くない。でもドラマや映画は難しすぎる。そんな人のために日本語教師のTOMOがちょうどいい日本語で話をします。
(00:00:21) テーマはリクエストすることもできます。リクエストがある人はTwitterやInstagramなどでメッセージをください。
(00:00:29) 待っています。
(00:06:48) あとは他にも生活する時には食費、食べ物のお金です。 それもかかるし
(00:06:56) どこかに行く時には電車にも乗らなければならないし あと服を買ったり
(00:07:03) 友達と遊びに行ったり あとは携帯のお金とか
(00:07:09) そういうのを全部払うとやっぱりだいたい月に10万円ぐらい すごく
(00:07:16) 節約。節約っていうのはお金を使わないように気をつけることですけど 節約していればもう少し安いと思いますけど
(00:07:26) でもやっぱり東京は他の場所よりも物価が高いからお金がかかります。
(00:07:34) 留学する前に自分の国でアルバイトをしてお金を貯めてそれで その貯めたお金だけで生活できるっていう人はいいんですけど
(00:07:45) そうじゃない人は アルバイトをしないと多分生活が厳しいんじゃないかなと思います。
(00:07:53) ただ留学生がアルバイトをするときはちょっと注意で 留学生のビザで日本に来た人は
(00:08:02) アルバイトができる時間が決まっています 一週間に28時間しかアルバイトをしてはいけません
(00:08:13) なんでかっていうと留学生は勉強のために日本に来ているから アルバイトしすぎると疲れて
(00:08:21) 勉強ができませんよね ですから
(00:08:24) 1週間に28時間だけと決まっています 留学生の人がよくしているアルバイトっていろいろありますけど
(00:08:34) コンビニとかあとは 飲食店
(00:08:38) 飲食店っていうのは何か食べたり飲んだりするお店 レストランとか喫茶店とかですね
(00:08:46) そういうところでアルバイトをしている人が多いですが コンビニや飲食店のアルバイトのお金
(00:08:54) 1時間にだいたい東京だと900円ぐらいですかね 最近はもう少し高いのかな
(00:09:03) ちょっと俺が東京に住んでたのはもう何年も前だから今はもう少し もう少しもらえるかもしれません
(00:09:12) これが田舎の方だと1時間にもらえるお金 1時間のお金を時給って言うんですけど
(00:09:20) 時給はもっと安いです 俺の住んでいるところだと時給はだいたい800円ぐらいのところが多いです
(00:09:31) 時給800円で1週間に28時間のアルバイトだと1ヶ月にアルバイトでもらえるお金 だいたい10万円ぐらいですね
(00:09:43) だから 自分の国で貯金して学校のお金を貯めて
(00:09:48) そして日本で生活するお金はアルバイトで稼ぐという人は結構いると思います 勉強しながらアルバイトするのは大変ですけどね
(00:09:59) でも日本でアルバイトすると日本語は上手になるので まあそれも勉強の一つだと思うといいかもしれません
(00:10:09) さあ今話しているのは留学生の話です 留学生は大学や専門学校などに入る前に
(00:10:19) 2年日本語学校で勉強することができます 2年だけです
(00:10:26) 2年半とか3年は日本語学校に行くことができません 2年より短いのはいいんですけどね
(00:10:34) 1年とか1年半だけ日本語学校に行って そして日本語が上手になったら大学に行くということもできます
(00:10:43) 俺の学校では2年勉強してそれから次の学校に行くという人が多いです でも
(00:10:52) 留学生じゃなくて留学じゃない別のビザで日本に来ている人もいます 例えばワーキングホリデーのビザなどです
(00:11:05) ワーキングホリデーっていうのは 簡単に言うと
(00:11:10) 日本に来て自由に遊んだりアルバイトをしたりしてもいいですよっていうビザです ただしそれは1年だけ
(00:11:20) 1年でそのビザが終わりですから1年経ったら自分の国に帰らなければなりません だからワーキングホリデーのビザって
(00:11:31) 遊ぶことも学校に行くこともそれからアルバイトをすることも全部できるんですけど 1年だけですから
(00:11:40) だから 2年間しっかり日本語学校で日本語を勉強したりその後に大学に行ったりということはできません
(00:11:51) でも 1年だけでいいから
(00:11:55) アルバイトとあとは日本語の勉強 どっちもやりたいっていう人にはちょうどいいビザですね
(00:12:03) ただそのワーキングホリデーのビザをもらえる国の人っていうのは決まっていて 全部の国じゃありません
(00:12:11) だから自分の国の自分の国は日本のワーキングホリデーのビザがもらえるかどうかというのは インターネットですぐ調べられますから
(00:12:22) 興味がある人は調べてみてください
(00:12:26) さてそれじゃあ今留学生とかワーキングホリデーの人が日本で生活すると どうなのかっていうところを
(00:12:36) お金について中心に話しましたね 日本語学校の学費とかあとは日本で生活するためのお金とか
(00:12:47) 留学生は1週間に28時間だけですがアルバイトをしながら 日本で生活ができます
(00:12:56) ワーキングホリデーの人は28時間じゃなくてもっとたくさんアルバイトができますから 自分の国であんまり貯金しなくても日本で生活できるかもしれませんね
(00:13:07) でも ワーキングホリデーのビザは1年だけなので大学には行けません
(00:13:14) 1年だけ日本語学校に行くことはできますけどね
(00:13:19) じゃあその1年とかあとは留学生が2年 日本語学校に行って
(00:13:25) どのくらい日本語が上手になるのか 自分の国で勉強するより日本語学校に行った方がいいのか
(00:13:34) っていうと これは
(00:13:38) 人によります 人によるっていうのはつまり
(00:13:44) 1年だけですごく上手になる人もいるし 2年いてもあまり上手にならない人もいます
(00:13:53) どうしてかというと どのくらい頑張って勉強するかで
(00:13:59) どのくらい上手になるかが変わるからです
(00:14:04) 日本で勉強すれば誰でもすごく上手になるというわけではありません 日本にいても
(00:14:14) 学校の外に出たら全然日本語を話さないで 買い物する時もコンビニだけとか
(00:14:22) 友達と遊ぶ時も自分の国の友達とか あとは
(00:14:28) 英語とか他の言葉で話す友達だけとか そういう人は日本に1年いても2年いても3年いてもあまり日本語が上手になりません
(00:14:41) ですから 日本に行ったら日本語上手になりますかとか
(00:14:47) 日本語学校って勉強するのにとてもいいところですよね っていうふうに聞かれることもありますが
(00:14:55) それは 人によりますみんな違います
(00:15:00) 一生懸命勉強できる人なら 頑張ることができる人なら
(00:15:06) きっと上手になります 先生もいるし
(00:15:11) 日本の生活は周りに日本人がたくさんいるし 1年だけでもとても上手になると思います
(00:15:19) でもあんまり頑張れない人は 日本に来ても上手にならないかもしれませんね
(00:15:26) そこはちょっと気をつけてください ちなみに
(00:15:31) 日本に留学するならどこがいいですかと聞かれることも時々あるんですけど 俺のおすすめは
(00:15:40) 特にありません あのどこでもいいと思います
(00:15:45) 生活スタイルっていうのはみんな違いますよね 生活スタイルっていうのはどんな生活をするかっていうことですけど
(00:15:56) 生活の仕方が違うと一番いい場所も変わりますから 俺の一番おすすめの場所っていうのはありません
(00:16:07) ただお金がある人は 東京に行ったら
(00:16:11) いろんなことができるから 暇にはならないと思います
(00:16:17) 田舎の方だとやっぱりできないことっていうのもたくさんあるから やりたくてもできないっていう
(00:16:25) ちょっとつまらないこともあるかもしれません ですから
(00:16:32) お金がある人は東京 あんまりお金がない人は田舎の方の生活がいいかもしれませんね
(00:16:40) でも一つ注意することがあります 日本の田舎の方は
(00:16:47) ちょっと日本語が難しいかもしれません 普通
(00:16:53) 外国の人が勉強している日本語は東京のあたりで話している日本語です でも東京から遠くに行くとちょっと教科書の日本語と違う日本語を話して
(00:17:09) います 例えば大阪の方だと
(00:17:14) 大阪弁とか関西弁っていう 東京と全然違う話し方をしています
(00:17:22) ですから 自分の国で日本語の教科書で勉強してそして大阪の方に行った人は最初はちょっと
(00:17:33) 言葉が難しいと思うかもしれません なのでそこは注意ですね
(00:17:40) 大阪は東京より 物価も安いし
(00:17:45) あとはなんとなく俺のイメージだけど美味しい食べ物 たこ焼きとかお好み焼きとか
(00:17:52) そういうのもたくさんあるから だから
(00:17:57) 大阪もおすすめですけどね 大阪にも遊ぶところとかお店とかはたくさんあるし
(00:18:04) あの usj っていう大きい遊園地もあるし
(00:18:10) だから 絶対暇にはならないと思います
(00:18:14) 田舎の生活よりも楽しいんじゃないかなと思います 言葉の違いもそこに住んでそこで友達を作ってたくさん話していたら
(00:18:25) きっとすぐ慣れると思いますから多分大丈夫でしょう さあそれじゃあこれが日本での生活です
(00:18:34) 日本で勉強する留学するっていうことですが 留学生の生活とかあとは何か他の留学についてもっと細かいことが聞きたい
(00:18:47) という人がいたら またリクエストをください
(00:18:52) 外国の生活って大変だと思いますけどでも楽しいこともたくさんありますから 留学したい人は頑張って
(00:19:01) 勉強と あとは貯金ですね
(00:19:05) 貯金してそして日本に来てください それじゃあ今日はこの辺で終わりにしましょう
(00:19:12) さようなら
