ep. 196 - 方言(N2)

(00:00:00) みなさんこんにちはトモですこれは日本語を勉強している人のためのポッドキャストです 教科書の日本語は面白くないでもドラマや映画は難しすぎる
(00:04:01) 上がったり下がったりする言い方 えっと日本語だと質問するときには普通はあの上に上がりますよね
(00:04:11) あなたはどこから来たんですかっていうふうにかがちょっと高い音になる こういうのをイントネーションって言うんですが
(00:04:18) そのねとにかく俺の住んでいるとこの方言はこの高い音低い音っていうのが他の 場所と全然違います
(00:04:27) あとね文法もまあ少し違うのがあります 文法っていうかまぁ
(00:04:33) あの 助詞とかそういう言葉ですね
(00:04:38) えっとまぁ例えば 行きますっていう言葉だとどこどこへ行きますとかに行きますって言ったりします
(00:04:47) が そのねえとかにじゃない違う助詞を使うんですよ
(00:04:54) んでえっとまぁ他にもねその えっと例えばなんとかでしょうとかだろうっていう文型皆さん初級の日本語で
(00:05:04) 勉強したと思いますがそれもね俺の住んでいるところでは違う言葉があります まあこういうふうにね文法が違うっていうのも方言の特徴で
(00:05:14) 他の地域でねわかりやすい違いだと例えば あの関西の方とかだとみんなが教科書で勉強した敬語とちょっと違う敬語があったり
(00:05:25) しますね あの春敬語って言って
(00:05:29) 関西の方だと しますじゃなくて支張りますっていうふうに春っていう言葉を中に入れるとか
(00:05:36) こういう文法的な違いなんかもあの方言ってあるんですよ だからねその言葉が違う単語ももちろん違いますしね
(00:05:45) 言葉が違う文法も違うアクセントも違う全部違うから同じところに住んでる人が聞いたら あこの人はだいたい同じ地域に住んでる人だなっていうのがわかるんです
(00:05:55) でね今日はその 単語と文法とすべてを
(00:06:01) 俺の方言にしちゃうと場所がわかっちゃうからとりあえずねアクセントだけ変えて話して みようと思います
(00:06:08) ただねアクセントが変わるアクセントだと発音か発音も少し変わりますね そのアクセントと発音が変わるだけでそれだけでもね結構全然違う日本語に聞こえるん
(00:06:20) じゃないかなとは思います じゃああの
(00:06:26) そうですねあの最近のニュースだと日本に留学生が入れるようになってきたので まあそれについて少し話をしようと思います
(00:06:36) はいじゃあここからちょっと方言で話しますね あの先月の下旬ぐらいに留学生とかあとベジネスとか
(00:06:47) 旅行以外の人が日本に入れるようになるってあの日本の政府が方針変えましたね で今月から留学生
(00:06:58) あのどんどん入れるようになりました もともとそのビジネスと留学生が日本に入れる人数って1日5000人ぐらいっていう話だったんですけど
(00:07:11) でも留学生って今日本に入れないで自分の国で待ってる人がすげーいっぱいいるから あの5000人だけじゃなくて留学生もっとたくさん入れるらしいですね
(00:07:23) だからあの 自分の国で
(00:07:28) 留学生の皆さんね日本に入れなくて待ってる留学生の人が自分の国でちゃんとビザとか もらえてあの日本に来る準備できたらもうすぐ日本に来れるらしいんですよ
(00:07:43) だからあの今までね日本語学校とか専門学校とか大学とか留学生全然来れなくて 学生数すごい少なくなってたんですけど
(00:07:53) あの たぶん来月とかあとは再来月ぐらいからすごい留学生いっぱい
(00:08:01) 入ってきて学生増えると思うんですよね だからあの
(00:08:07) ちょっとね今年とか来年とかまぁ去年もそうなんですけど 学生が全然いなくてあの滑れちゃう学校って結構たくさんあったと思うんですよ
(00:08:19) あの去年までと同じくらいのその同じような状況がずっと続いてたら多分今年日本学校って もうほとんどなくなっちゃってたと思うんですよ
(00:08:30) 学生がいなくて だからあの
(00:08:34) 来月からまた 留学生入ってきてであの新しいクラス新しいクラスもたくさん作ってでちゃんとね授業も
(00:08:44) できるようになると思うからすごい あのいい
(00:08:49) 状況に変わってきたなぁと思います で日本に来たくても全然来れなかった留学生もすごいたくさんいてみんな
(00:08:59) もう2年間丸2年ですねずっと待たされてだから あの
(00:09:06) 日本語の先生日本にいる日本語教師のみんなもすごい かわいそうっていうかあの
(00:09:12) もちろんねその日本語教師がそれ決めたわけじゃないんですけど日本の制服がそういうふうに あの留学生が
(00:09:21) 大学とかに合格しても入れないっていうふうに決めちゃったからすごい申し訳ないなっていう ふうに思ったんですけど
(00:09:29) やっとあの入れるようになったから2年間諦めないでずっと待っててくれた人本当に あのありがたいなって思うしいかぜひ頑張ってほしいなというふうに思ってます
(00:09:42) なのでねあのこれから日本に来る予定の人もしかしたらこのポッドキャストを聞いてる 人もいるかもしれないから
(00:09:48) 日本に来たらぜひね頑張って いってくださいであの日本の生活だんだんその
(00:09:56) コロナもねちょっと落ち着いてきたから ねあのいろいろ楽しんでいってください
(00:10:03) はいじゃあとりあえずここまでが方言で話した俺の日本語ですじゃあもうここからは普通の 日本語に戻しますね
(00:10:12) 実はね俺あんまり方言って普段話さないんですよ あの生まれも育ちも
(00:10:19) 今ね住んでる場所だから方言聞くのはまあ大丈夫なんですけど なんか
(00:10:25) 昔からねあんまり方言を使わないで 育ったんですよ俺
(00:10:31) なんかねテレビとかラジオとかそういうのをよく見てたからですかね だから方言じゃなくて標準語っていうまあ普通の日本語で話す癖がついちゃっているので
(00:10:41) ちょっとねあの 俺の友達が言うとね友達に言わせれば俺の方言は下手らしいんですよ
(00:10:49) だからあのもしかしたらちょっとね変なところがあるかもしれませんがまぁだいたい こんな感じだと思います
(00:10:57) はいじゃあねあの これ聞いてる人にはね人の中で割と同じ場所に住んでる人はあんまりないとは思うん
(00:11:05) ですけど もしこれを聞いてこの人はだいたいあそこら辺に住んでるなって分かっても
(00:11:13) あの内緒にしといてくださいね はいじゃあ今日は方言についてでした
(00:11:20) 初めての俺の方言でしたがどうだったでしょうか 日本に留学に来る人なんかはね自分の行く場所これから住む予定のところがどんな方言
(00:11:31) 話すのかっていうのをちょっと気をつけて 調べてみるといいと思います本当にね場所によっては教科書で教科書と全然違って
(00:11:40) 難しい日本語のことがありますからね はいじゃあえっと
(00:11:45) 新しいエピソードすぐすいませんすごいお待たせしてしまいましたがまたこれからは たくさん作っていきますので
(00:11:53) 今後もよろしくお願いします それじゃあさようなら
