ep. 065 - 日本語の違い(N2)

みなさんこんにちは、ともです。 これは日本語を勉強している人のためのボットキャストです。
まあこんなふうにね言葉を変えるとキャラクターがわかりやすいっていうのは いろんな漫画であのやってることであと他にも
言葉を変えるっていうよりもあの別のやり方で言葉を付け加えるっていうのもありますね 有名なのだと
あの 忍者の漫画のナルトとか
あの漫画は あの
出てくるキャラクターみんな最後に何か言葉をつけるんですけど あれを普通の生活で使ってしまうと
ちょっと変な人ですね この人何言ってるんだろうっていう風に見られてしまうかもしれません
時々ね日本語の先生の仕事をしていると 学生にだってばよってどんな意味ですかっていう風に
聞かれることもあるんですけど あれね意味ありませんからね
普通の日本語じゃないから 普通に話すんだったらあれはだよっていうのと多分だいたい同じかな
ちょっとねあの漫画を全部確認したわけじゃないから ちょっと違うところもあるかもしれませんけど
これが漫画の言葉の使い方なんですがアニメもまあ漫画と同じですね だいたいもともとは漫画のものがアニメになるっていうパターンが多いので
でドラマに関しては まあこれは
前もねちょっとあの なんだっけえっと吹き替えの話かなその時にもちょっと話したことありますけど
普通の生活の場面がテーマになっているドラマとかだったら あの全然変じゃないそのまま覚えてそのまま話しても大丈夫な日本語は結構あります
でも昔の話がテーマになってたら まあ本当それこそ侍とか忍者とかそういうのがいる時代ですね
そのぐらい昔の日本語だとやっぱりちょっと変ですね 100年とか200年とか前だとやっぱりちょっと変な言葉とか
今は使わない言葉とかも結構あるんですが まあ2,30年ぐらい前だったら今と言葉はほとんど変わってないから
そのぐらいだったらそのまま覚えてもいいですね ただまあ2,30年前だと時々ねちょっと古い言葉
今は使わない言葉とかも出ることがあるのでそれは 注意しないといけないところですね
今は使わない言葉っていうのはあの その時だけ流行ってる言葉とかです
例えばねあの 俺が今パッと思いついたのだと
どのくらい前だろう20年以上前かな そのくらい前に流行った言葉で
ちょべりばなんていう言葉があります これを知っている人は多分いないんじゃないかなと思うんですけど
これ何かっていうと ちょと
英語のベリー ベリーってあのカタカナで書くとベリー
とてもっていう意味の言葉ですね それと
バッドのバ バッドはこれも英語の悪いっていう意味のバですね
この3つの言葉を一緒にしてちょべりバッド 短くするとちょべりば
で使い方は まあすごく嫌なことがあった時に
ちょべりばって言うんですけどまあ今だったら 多分最悪っていうふうに言いますね
でこのちょべりばっていうのは本当にあの その時だけ流行った言葉で今は全然使わない言葉です
こういうふうにその時だけ流行っている言葉っていうのも あの時々出てくるのでそれは気をつけましょう
あとはね他にもこの話し方についてちょっと話すと その漫画とかドラマーとかの日本語の違いっていうのもあるんですけど
同じドラマーの中でも人によってちょっと話し方を変えていることっていうのも あると思うので
日本語が上手な人はねそういうところにも注意して聞いてみると面白いと思います 例えばその同じドラマーの中でどんな日本語の違いが出てくるかっていうと
まず使う言葉は同じでも話し方をちょっとゆっくりにしたりとか あとは少し言葉を伸ばしながら発音したりとか
伸ばしながら発音するっていうのは あのっていうところあのー
でちょっと長く言ったりとかね あとは真面目な感じを出したかったら
敬語をちょっと多めに使ってあとは 短くする言葉とかを使わないで全部丁寧に言ったりとか
短くする言葉っていうのは 例えばしちゃいましたみたいなやつですね短くしないとしてしまいましたですね
あとは真面目な感じ出したかったら助詞を省略しないで全部言ったりとか こういうのね結構細かいと思うんですけどこれでも結構その人の性格っていうか
あのどんなキャラクターかなっていうのが結構変わると思います まあ例えばね今の話し方の違いだと
例えば 佐藤さんはもう帰ってしまいましたよっていう言い方と佐藤さんも帰っちゃいましたよ
っていう言い方 すごい簡単な言葉ですけどねこの言葉だけでもやっぱり最初に言った方は佐藤さん
はとかもう帰ってしまいましたよっていうふうに短くする言い方を使ってないから なんか真面目な感じがしますね
日本語の勉強のためにそういうドラマとか映画とかを見たいなって思う人はそういう 細かい違いもちょっと気をつけて見てみると面白いと思います
さてそれじゃあ今日はこの日本語の違いっていうテーマでした これを聞いている人も何かリクエストがあったら
メールとか sns とかでメッセージをください 皆さんからのメッセージ待ってます
それじゃあ今日はここで終わりにしたいと思いますさようなら
