ep. 024 - 電車のマナー(N2)

みなさんこんにちはTOMOです
これは日本語を勉強している人のためのポッドキャストです 教科書の日本語は面白くない
だからまあそれが理由かどうかはねわかんないですけど まあとにかく
電車の中で電話で話すっていうのは日本ではダメなんです 音に関して言うと電話についてだとあの
電話で話すのもダメだしあとは 電話の着信音
電話が来た時の電話だけじゃないか電話とかメールとかラインとか そういうのが来た時の音あれを着信音って言うんですけど
あの着信音がうるさいっていうのもやっぱりこうイライラする人が多いみたいですね
あとは携帯 携帯っていうか
まあ携帯か携帯使うから携帯で音楽を聞いてる人 音楽聞く時にもちろん皆さんイヤフォンとかヘッドフォンとか使うと思うんですけど
そのイヤフォンから音が漏れてる音が聞こえてくるっていうのが みんながイライラすることの一つとしてよく言われますね
ってことでまずは音について今言ったのは3つですね 電話で話す声がダメだっていうのと電話の着信音
それから音楽を聞いている人は音楽の音がイヤフォンとかヘッドフォンから漏れている っていうこと
音についてはこれに気をつけましょう じゃあ次にですね
音じゃなくて自分の体ですね 周りの人に対して気をつける自分の体についてなんですが
まあ当たり前だと思うんですけど自分の体が周りの人にぶつからないようにっていう のは気をつけましょう
よくぶつかる場所っていうのはまずは肘 肘ってわかりますか腕の真ん中の曲げるところですね
この肘が周りの人にぶつからないように気をつけてください どんな時にぶつかるかっていうと
最近だとやっぱりスマホ スマホを見ているときに
スマホを自分の顔の近くに持ってくると肘が横に出ちゃいますよね その横に出た肘が周りの人に当たりやすい
なのでスマホを見るときは ちゃんとこう肘が外に出ないように少し体を小さくする感じでスマホを見ないといけ
ませんね 特に気をつけなきゃいけないのは両手でスマホを使う人ですね
ゲームをする時とか片手じゃできないから 右手と左手両手使ってゲームやろうとすると
左右の肘が両方横に出ちゃうから結構他の人に当たりやすくなります 気をつけましょう
あと他の人に当たるっていうのは自分の体だけじゃなくて自分の持っているものも そうですね
少し大きいカバンとか持っている人は気をつけましょう 特に旅行に来ている人なんかそうですね
旅行で日本に来ている人は多分大きいカバンを持っている人多いですよね でこの大きいカバンで特に気をつけなきゃいけないのがリュック
リュックっていうカバンわかりますか 自分の背中に持つカバンです
あれをリュックって言うんですけど大きいリュックだと 周りの人にぶつかりやすいですね
特に体の向きを変えた時 右向いたりとか左向いた時とかその時にカバンが周りの人にぶつかりやすいので
人が多い電車で リュックを持つときは背中じゃなくって自分の体の前に持ってきて
ちょっとこう 両手で抱えるようにしてリュックを持つと他の人にぶつかりにくくなるのでその方が周りの人に優しい感じの持ち方になりますね
これが周りの人にぶつからないように気をつけること あとは
立つところとか座る場所について まずは立つ場所について
当たり前ですけど邪魔になる場所っていうのは立っちゃダメですよね じゃあ邪魔になる場所ってどこかっていうと電車のドアの近く
ドアの近くっていうかドアの前っていうか ドアの前にいると
電車に乗る人にとっても邪魔だし降りる人にとっても邪魔になります なのでできるだけ電車のドアの近くに立たないようにして
で 人が多くて他の場所はもう開いてない
ドアの前しか立つところがないっていう時は 駅に着いた時に電車に乗る人とか電車から降りる人がいないか
よく周りを見て でその乗り降りする人がいたら自分が邪魔になってたら
1回電車の外に出たりしてあの邪魔にならないようにね 気をつけてください
それから座る時の注意ですが座る時は 場所についてはねそんなに気にしなくていいと思うんです
椅子があったらあのどこでも座って大丈夫ですから ただ
人が多い時満員電車ですね その満員電車に乗るときに椅子に座るならちょっと気をつけてほしいんですけど
まず椅子の上に自分のカバンとか荷物を絶対に置かないでください 自分のカバンは自分の膝の上
それから座る時に隣の人とあのスペースを開けないで乗ってください スペースを開けるってまつまり隣の人からちょっとだけ離れて座るっていうのをやめ
ましょう 知らない人とねあまり近づくのは嫌かもしれませんけど
でもスペースが空いていると座れる人数が少なくなっちゃうから それって迷惑な行為になっちゃいます
なのでできるだけ隣の人とスペースを開けないで できるだけ詰めて詰めるっていうのは近くに寄って座るっていうのに気をつけて
ください あとはあの
電車に乗っている時の注意じゃないんですけど電車に乗る時の注意で 気をつけてほしいこと
電車に乗る前に日本では必ず並びます 自分一人だけだったらいいんですけどね
まあだいたい駅には自分の他にも人がたくさんいますから 列を作ってちゃんと並んで電車を待ってください
そして電車が来て電車に乗るときは 降りる人が先っていうのを忘れないでください
電車に乗る人が先じゃありません 降りる人がみんな降りてそしてそれから乗ってください
はいじゃあこれがね電車に乗る時の注意です まあ初めて日本に来た人にはちょっとわからないマナーとかもあるかもしれませんけど
でも周りをよく見て周りの人がちょっとこう 嫌な顔とか怒った感じの顔とかをしてなければまあ多分大丈夫でしょう
あ あともう一個だけあった
あの これはねしょうがないっていうことも
結構あると思いますが でもできれば気をつけた方がいいこと
何かというと 人がたくさんいる電車に乗るときは
ちょっと匂いに気をつけましょう 匂い
何の匂いかというといろいろありますね 例えば香水とかの匂いがあまり好きじゃないっていう人もいるから
電車に乗るってわかってるときはちょっと香水をつけすぎないように気をつけたりとか あとはタバコとか酒の匂いですね
電車に乗る前にタバコは吸わないようにするとか お酒はまあしょうがないか
しょうがないのかなぁでもあまり良くないと思うんですけどね でもお酒に乗って車運転することはできないから
まあ俺はちょっとしょうがないかなという気もするけどでもできるだけね他の人の 迷惑にならない時間を選んで電車に乗るとかできるかもしれませんね
それから
人がたくさんいるところに行くんだったら シャワーを浴びるとかね
国によってはあの 1週間に1回ぐらいしかシャワーを浴びない国
お風呂に入らない国っていうのもあると思うんですが 日本では
基本的に 多分ねみんな
お風呂かシャワーかは毎日入ると思うんですよ 俺も絶対に1日1回はシャワーは浴びますし
夏とかでねあの汗かいたら1日2回でも3回でもシャワーは浴びますから これは文化の違いっていうのもあると思うんですけどもう一つは気候の違いですよね
日本は 特に夏は暑いしジメジメしてる
ジメジメってのは湿気が高いということですね 空気の中にある水分水がたくさんある
暑くてジメジメしてると汗もかくしそうするとちょっと汗臭くなりやすいですね 自分の体が臭くなりやすいです
乾燥しててあんまり暑くない国だと そんなに汗もかかなくてその体の匂い体の匂いを体臭って言いますけど体臭が
気にならないところとかもあるかもしれませんけど 日本では
結構ね体臭はみんな気にします 臭い人がいると嫌だなって思う人が結構いると思いますから
日本に来る人はきちんとシャワーを浴びるっていうのを忘れない方がいいと思います まああまりねあの
そんなにすごい気にしすぎなくてもいいと思いますよ 1日1回ちゃんとシャワー浴びてれば
それだけで十分臭いなんて思われないと思います シャワーが3日とか4日に1回だとちょっと危ないかもしれませんね
気をつけてください
はいじゃあこれが 日本の電車で気をつけることですね
他にも細かいことね気をつけた方がいいことあるかもしれませんが 俺が思いつくのはこのぐらいです
あとはその細かいところなんかはやっぱりその人とか あとは場所によっても結構変わるところがあると思うので周りの人をよく見てください
周りをよく見てそして周りに迷惑をかけないように気をつけよう っていうふうに考えていれば
国が違えば文化も違うんだからちょっとぐらい失敗っていうか 日本のマナーで知らないところがあっても大丈夫だと思います
なので一番大事なマナーっていうのは周りをよく見て周りの人が 迷惑だっていうふうに思ってないかどうかっていうのを考えることだと思います
これは電車だけじゃなくて他のいろんなところでも同じですね では今日は電車の話でしたが電車でのマナーって国が変わると本当結構変わりますよね
俺も外国に住んでたことがありますが やっぱり日本とマナーというかルールというかちょっと違ったのでびっくりしたことあります
電車の中で電話で話してたりとかね あとはちょっとびっくりしたのは
指定席に座っている人がいたっていうこととかね 指定席でもまだ人が座ってなかったら座っても大丈夫だったんですよ
そこの国では あとからその
その指定席の切符を持っている人が来たらどけば大丈夫っていう あれはちょっとびっくりしましたね日本では誰も座ってなくても指定席には座ってはいけませんから
他にも皆さんの国で何か面白いっていうか 他の国と違うルールとかマナーとかがあったらいろいろ聞かせてください
皆さんからいろいろな話を聞かせてもらえるとこのポッドキャストもどんどん良くなるし 俺も楽しいです皆さんからのメッセージ待っています
それじゃあ今日はこの辺で終わりましょうさようなら
