ep. 075 - 「花火大会(N3)」

(00:00:00) みなさんこんにちはともです これは日本語を勉強している人のためのポッドキャストです
(00:03:50) ただの丸い花火だけじゃなくていろいろなのが見れるからとても楽しいです 最近の花火大会では何かのテーマに合わせて花火を上げるっていうことも多いので
(00:04:03) そのテーマに合わせた花火もとても楽しいです 何か音楽に合わせたりとかあとは
(00:04:12) テーマに合わせた色とか形とか そういうのを
(00:04:17) 花火を作る人たちがよく考えていろんな花火を上げてくれるのでとても楽しいです そして花火大会の楽しみといえば花火だけじゃなくて
(00:04:30) まあ花火大会というのはお祭りみたいなものなので 花火大会をする場所の近くにはいろいろなお店が出ています
(00:04:40) そのお店でいろいろな食べ物とか飲み物とかを買って それで友達とか家族とかと話しながら食べながら飲みながら花火を見るのがとても楽しいです
(00:04:54) 個人的にはねビールを飲みながら花火を見るのがすごく好きです ビールと焼き鳥を持って見る花火は最高ですね
(00:05:05) まぁ酒が好きじゃない人にはあまりこの良さはわからないかもしれませんけど でこの花火大会ですが花火は綺麗だし楽しいし美味しい食べ物や飲み物もあるし
(00:05:19) いいことばかりなんですが でもちょっと注意があって
(00:05:26) この花火大会というのは 人が多いです
(00:05:31) すごく多いです どのくらい多いかっていうと
(00:05:36) 有名な花火大会だと歩くことができないくらい人がいます えっと皆さん満員電車ってわかりますか
(00:05:46) 満員電車 日本の特に東京とか電車を使う場所だと朝とか夕方の仕事に行ったり帰ったりする
(00:05:57) 時間の電車って 人がとっても多いですね
(00:06:03) 電車の中に入ることができないぐらい人が多いんですが 花火大会の時は
(00:06:10) 街全部が満員電車みたいです ですので人混み
(00:06:18) 人混みっていうのはとっても混んでいるところ その人混みが嫌いな人は
(00:06:25) 花火大会はちょっとねダメかもしれませんね あまり行かない方がいいかもしれません
(00:06:32) それかあんまり有名じゃない花火大会に行くか 結構遠くから見るかですね
(00:06:40) 近くまで行くと本当に人が多いです どのくらい人が多いか知りたかったらインターネットのイメージ検索で
(00:06:50) 花火大会と混雑っていう言葉で調べてみてください 混雑っていうのはとても混んでいることです
(00:07:02) なので花火大会混雑っていうのを調べると 人がものすごくたくさんいる
(00:07:10) いろいろな写真が出てきます これを見るとね花火大会行きたくないって思う人いるかもしれませんが
(00:07:18) でもそのくらい人が集まる そのぐらいに花火大会っていうのはとても面白いです
(00:07:27) 花火がとっても綺麗で 1回はね見に行ったほうがいいと思います
(00:07:34) ただちょっと残念な話があって今年は コロナのせいで花火大会が中止になっているところがとても多いです
(00:07:46) 普通は7月と8月にやるところが多いんですが まだ日本でもコロナウイルスにかかってしまった人が多いので
(00:07:56) これ以上病気の人を増やさないために花火大会は中止にしているところがたくさんあります ただ中止じゃなくて延期のところもあります
(00:08:08) 延期っていうのは 予定よりもちょっと遅くやることです
(00:08:14) 普通は7月とか8月にやるんですが 10月か11月に花火大会をやるところもあります
(00:08:23) ですので今年花火大会に行きたいと思う人は その延期しているところを探してみてください
(00:08:32) インターネットでねいろいろ調べることができますから 花火を見たい人はぜひ調べていってみてください
(00:08:41) さあそれじゃあ今日は日本の夏の話でした 日本の夏といえば花火です
(00:08:48) 皆さんも日本に夏に遊びに来る人がいたらぜひ花火大会に行ってみてください まあ今年は夏じゃなくて秋ですね
(00:08:57) 秋に日本に来ようと思っている人は ちょうどその時に花火大会があったらぜひ見てみてください
(00:09:06) 本当に死ぬまでに1回は見たほうがいいと思います 皆さんの国にも
(00:09:13) 一度は見たほうがいいというような楽しいイベント 綺麗なイベントがあったらぜひ教えてください
(00:09:22) それじゃあ今日はこの辺で終わりにします さようなら
