ep. 168 - 不安の克服(N2)

みなさんこんにちはトモですこれは日本語を勉強している人のためのポッドキャストです
教科書の日本語は面白くないでもドラマや映画は難しすぎる そんな人のために日本語教師のトモがちょうどいい日本語で話をします
それは別に怒ってるわけではない むしろ
こう下手な日本語で話されて俺がわかんなかった時ねその時も あの
下手だからもう話すのやめようっていうふうに思われるよりも 今の説明じゃわかんなかったからじゃあちょっと違う言葉でもっといろんな言い方で説明して
みようって言ってそのね 下手な日本語であってもたくさん話してもらった方がコミュニケーションを取りやすいんですよね
だから 間違えること自体何にも問題ないし間違えても
あの 大丈夫なんですよ
だから その自信を持って話すためにはね
どうすればいいのかというと 間違えても大丈夫
間違えるのは悪いことではないっていうのを 何回も
間違った日本語を話して失敗してであって大丈夫なんだなっていうことを実感するの がいいんじゃないかなと思うんですよ
だから最初はねやっぱりその外国語で話をする時に間違えたらどうしようと思うかもしれない けど間違えたらどうしようの先まで考えてみてください
今ここで日本語を使って話をしても相手に伝わらないかもしれない でも伝わらなかったらじゃあ何か問題ある
って考えてみてであの 下手な日本語でね
間違って相手に怒られるっていうことは絶対ないから それ考えてみると間違ったらどうしよう
あれいや待てよ間違えても別にいいじゃんっていうことに気づけるんじゃないかなと それでもやっぱり最初は間違えたら怖いと思うかもしれないけど
あの たくさん日本語をね
使っているうちに間違えても大丈夫だっていうことがわかってくると思います 自分の日本語下手だけどでも
下手な日本語なりにいろいろ話せばわかってくれる っていう気持ちがどんどん多くなるとそういう実体験が増えてくると緊張とかねどんどん
なくなってくると思います でやっぱり俺もねその台湾に住んでる時に
最初は中国語で話すのが怖かったけど だんだんね慣れてくると
特に台湾の人ってねあの優しい人多いんですけど 日本人っていうと
あのすごい親切にしてくれる人多かったから 俺の下手な日本語でもなんか話は聞いてくれるし
あの頑張って英語とかも使っていろいろ説明しようとしてくれるから 結構ね
あの 大丈夫だったんですよ
あの最悪 中国俺の中国語も通じない相手の英語とか日本語相手が英語とか日本語も
わかんないでもその時も 顔とジェスチャーで
なんとなくコミュニケーションは取れました だからねそういうことに気づいてくると俺中国語下手だけど間違えても何とかなるなっていう
気持ちがどんどん大きくなってそれで最終的には中国語で話す その緊張感とかね不安とかもなくなっていきました
はいということでもうとにかく同じ話を何回も繰り返すようなんですけど 間違えても大丈夫なんですよ
本当に今日はこのエピソード同じ話何回も言ってる これしか言ってないけど間違えても大丈夫
間違えても何も悪いことはないし あの怒られたりもしない
それに気づけるかどうか っていうのが重要かなと思います
まあねその 時々ね
えっとこの今日のメッセージくれた方はベトナムの方なんですけど 例えばベトナムの人だと日本語を勉強したときに
あの つ立ちつてとのつこれがね苦手で言えない人っていうのが結構多いんですよね
熱がね中みたいになっちゃうで あの日本語の2と中を間違えると
時々に恥ずかしいこともあるんですよ 例えばあの机の上に本がありますというときに宿泳の上に本がありますって言ってしまう
と 小さい子供赤ちゃんみたいな話し方に聞こえちゃうから
それでねあの えっとちょっとこう大人が赤ちゃん言葉を使ってるっていうふうに聞こえて笑われてしまう
ことなんかはあるかもしれない だからあの間違えてもいいんだ
でもちょっと笑われるのは嫌だなって思ったら その
自分のねあの日本語の ちょっとこう分かりにくいところとか間違いやすいところ
まあ自分だけじゃなくて自分の国の人 まあ例えばそのベトナムだったら2が難しいみたいなね
そういうところがわかると そこだけをちょっとね対策としてなんかいろんな練習をしてそれで会話ができるかなと思う
ので 間違えてもいいけど絶対間違えたくないところっていうのをそこだけを決めてそれをしっかり
練習して でそれ以外はまあいいやっていう気持ちでいけば
いいんじゃないかなと思います
じゃあ今日はなんか長い割に大した話はしてないですね同じことしか話してないんです けど
その外国語を話すときの不安とか緊張とかですねそれを取り除くためにどうすればいいのか っていうことで
あのたくさん話をして間違えても大丈夫だということに気づいて そして慣れてください
それがねあの一番だと思いますそして間違えることに慣れて大丈夫だ たくさん話そうって思ってたくさん話していると
あのどんどんね日本語も上手になると思いますから 日本語を勉強している皆さんはぜひ頑張ってたくさん間違いをしながらね話をしていただき
たいなと思います
はいじゃあ今日はねえっと参考になったかどうかはわかりませんが リクエストというか質問の答えでした
皆さんも何かこうリクエストとかあったらねぜひメッセージとかコメントとかをください 皆さんからのコメントを楽しみに読んでます
じゃあこの辺で終わりにしたいと思いますさようなら
