ep. 222 - 助数詞(N2)

(00:00:00) me
(00:04:39) 8私は 今期8先生が少ないから一人で2クラス担任をしていますとかね
(00:04:47) そのクラスの数を数えるときにクラスという言葉を使います だからね教室っていうのとあの意味が似てる言葉なんだけど全然違う使い方
(00:04:57) なんですよ えっと後はねそのクラスの数え方なんですけど
(00:05:03) 一つ一つの授業の時には今度はね困って言う言葉を使います 今日は授業が2コマあるとか
(00:05:11) 月曜日は3コマ授業をとっているとかね授業の数え方はコマなんです まあこれはね小学校中学校高校まではコマじゃなくて時間っていう時の方が多い
(00:05:23) です あの今日は授業が5時間あるとかね
(00:05:29) でまぁこんな風にあの学校の中にもねいろんな 助数子があってそのクラスとか教室コマっていうと意味がねすごく似てるんですけど
(00:05:39) 使い分けがあるんですよ であとはね他にも皆さんの生活の中であの
(00:05:46) よく使う助数子っていうとそうですね例えばスーパーの中で使う言葉なんかは 難しいのが多いなって思います
(00:05:56) えっとスーパーの中にあるもの 簡単なものが多いですよ例えば野菜とかねそういう
(00:06:02) 難しいものじゃなくって皆さんの本当に身近にある よく見るものよく使うものよく食べるものそういうのにもいろんな助数子があって
(00:06:11) 野菜だったらあの とりあえず長いものは本を使う
(00:06:17) 大根とか人参とかごぼうとかねそれは1本2本というふうに数える それはペンとかと同じですね
(00:06:25) であの ちょっとね難しいっていうか独特なのは豆腐とかですね
(00:06:33) 豆腐の数え方って1町2町3町っていうふうに長を使うんですよ でえっと
(00:06:42) 難しいっていうか面白いのは キャベツとかねあの大きい丸いものキャベツだけじゃなくてスイカでも何でもいいんです
(00:06:50) けど丸いものってね 玉を使うんですキャベツが1玉2玉3玉っていうふうに
(00:06:59) でキャベツはね面白いんですけど玉っていうのは丸いものだから キャベツってね日本のスーパーに行くと
(00:07:06) あの一つ全部売ってる時と半分に切ったものとか 4分の1に切ったものっていうふうに小さく切られて売られている場合もあるんです
(00:07:17) で玉っていうのは丸いものだからキャベツ半分に切っちゃう玉じゃないですね そうすると2分の1個とか切ったものだから2分の1切れとかね
(00:07:28) 別の女数子に変わるんですよ でキャベツっていうのはあの
(00:07:34) まあ葉っぱですよね料理するときに1枚ずつとって剥がすから あのキャベツ1玉から1枚取って剥がすと今度は薄いものになるので1枚っていう風に前に
(00:07:47) 数え方が変わります でこういうふうにあの形が変わるとね数え方も変わるっていうのは野菜だけじゃ
(00:07:56) なくて魚とかもそうですね 魚の数え方って難しいんですよ
(00:08:03) あの 海でね泳いでいるときには1匹2匹3匹っていう動物と同じ数え方するんです
(00:08:10) ただねあのすごく大きい魚だと匹じゃなくて1頭2頭って数えることもあります これは動物も同じで大きい動物ってね1匹2匹よりも1頭2頭3頭っていう風に
(00:08:24) 頭を使うことが多いです で魚ってあの
(00:08:29) 海で泳いでいるときは1匹2匹でもそれが スーパーで売られているときには
(00:08:36) まあ普通に売られてたら1匹2匹でもいいんですけど パックに入ってたら
(00:08:41) 1パックっていう風に今度は魚じゃなくてねパックの方で数えるんです で魚がね丸ごと1匹だったら1匹でいいんですけどそうじゃなくて
(00:08:53) あの薄くね切ってるとき あの魚って真ん中に太い大きい骨がありますからそこの骨の部分を
(00:09:02) あの切ってねそこは捨てて薄くしてあるときには魚が1枚2枚っていう風にまた前に 数え方変わります
(00:09:12) でさらに魚ってあの日本人はね刺身にして食べることがありますね そうすると刺身みたいにあの切ってあると今度は一切れ二切れ
(00:09:23) っていう風にまたね数え方が変わるんです だからね同じものでも
(00:09:29) あの置いてある場所まあいる場所によって数え方が変わったり形が変わったりすると 常数種も変わっちゃうんです
(00:09:39) あとはね他にもね面白いものといえば思いつくのはやっぱりウサギですね ウサギの数え方って動物だから1匹2匹でいい
(00:09:49) あのそれでだいたい大丈夫なんですけど本当はウサギって あの1匹2匹じゃなくて鳥と同じ1羽2羽って数えるらしいんですよ
(00:09:59) まあ俺はあの めんどくさいから1匹って言っちゃいますけどね
(00:10:05) あの1羽2羽って数えるようになった理由はなんかいろんな説があってね本当が本当に 正しいのはどれかというのはわかんないんですけどまあとりあえず
(00:10:16) ウサギは1羽2羽と数える あと他にはねあの
(00:10:23) 日本といえば侍が好きな人いると思いますが侍って言うとね刀を持ってますよね 刀って長いから1本2本て数えるのかと思いきや
(00:10:35) あれね刀は 振りますよね刀を振って使うから1振り2振り3振りっていう風に振りと言って
(00:10:44) 数えます
(00:10:47) なんかねややこしいですよねまあ1本2本て数えても全然問題ないしわかると思うん ですよね
(00:10:55) はいじゃあこんな風にね日本語の助数詞いろいろありますがあの形金変わると 呼び方が変わるっていうのがやっぱり特徴的ですよね
(00:11:07) なのであの それをね間違えるとやっぱり意味が間違って伝わっちゃうこととか
(00:11:14) 時々あるのでそういうのは気をつけた方がいいですね あの例えばバーベキューしている時にキャベツ1枚とってっていうのとキャベツ1玉とって
(00:11:24) っていうのでは全然違いますからね 1玉って言ったら丸ごと1個出てきちゃうから
(00:11:30) あのこんな風に違いが大きいものっていうのは覚えておくと あの誤解が少ないしまあそういうのを探していくとねいろんな面白い助数詞に出会える
(00:11:40) と思います じゃあ今日は助数詞の話この辺であの他にもいろんな面白いのありますけど全部
(00:11:47) 言ってるとね時間すごいかかっちゃうのでこの辺で終わりにしておきたいと思います 助数詞は難しいとは思いますが本当に間違えると大変な時があるから頑張って覚えて
(00:11:58) ください えっとじゃあ今日は助数詞のリクエストでしたが他にもね皆さん何かリクエストとかある人は
(00:12:07) ぜひメールメッセージ送ってください あとはこのポッドキャストを気に入った面白かった
(00:12:13) 応援したいという人はペイパールを載せておくので少しでもいいので寄付してもらえる と嬉しいです
(00:12:20) はいじゃあ今日はこれで終わりにしますまた次のエピソードでお会いしましょう さようなら
