ep. 079 - 日本の職場(N2)

みなさんこんにちはトモですこれは日本語を勉強している人のためのポッドキャストです
教科書の日本語は面白くないでもドラマや映画は難しすぎる そんな人のために日本語教師の友がちょうどいい日本語で話をします
でまぁあのとにかくあのそういうふうに俺はまずは気をつけてたところっていうのは その話し方とか話題とかですね
あと他にそうですねその周りが女性だから気をつけてたっていうと まあこれは周りに女性が少なくても気をつけるべきところではあるんですけど
っていうかまぁ女性じゃなくてね周りが男性でも気をつける気をつけるべきところなんです けど
できるだけ他の人に体が触れないようにっていうのは気をつけてます 肩とか背中とかね自分から触るのはもちろんダメですけど
あのすれ違う時にねぶつかるとかそういうのも絶対なくそうっていうのは気をつけて ます
もちろんね男同士だからって言ってあの他の人に触っていいわけじゃないんですけど まあすれ違う時にぶつかるぐらいだったら男同士ならまあそんなに気にしなくても
大丈夫かなという気はするんですが 相手が女性だと
すごいこう申し訳ないなっていう気がするので できるだけこう
距離が近くなりすぎないようにっていうのは気をつけてます まあ俺の場合特に俺結構体がでかい方で背も高くて
あの格闘技とかやってるから ちょっとこう他の他のというか普通の人より筋肉とかも多めなので
結構ね俺みたいなのが近くにいたら男とか女とか関係なく怖いんじゃないかなっていう ような気がするので
まあそれでねできるだけこう 近すぎないようにっていう風に気をつけてます
まあとにかくあのあんまり 周りが男だからとか周りが女だからとか
そういうのは関係なく やっぱりその
周りの人が不快になることをしないっていうのが一番大事だよなっていう気はします ね
だから 周りが女性ばかりの職場だからこれ気をつけようっていうんじゃなくて
周りにいる人男でも女でも関係なく 周りの人を不快にしないように気をつけようというふうに思っていれば
まあどんな職場でも大丈夫じゃないかなっていう気はします やっぱそれが一番大事ですよ
んでこの周りの人を不快にしないようにっていうためには リクエストにもあったオフィスマナー
まあこのマナーですね それも大事になってくるんですが実はそのオフィスでのマナーっていうのは結構
職場によって違うので何が大事とか何をしなければならないとか 何をしてはいけないっていうのは結構ね
その職場に入ってみないとわからないところが多いと思います 例えばどんな服を着るかっていうのも会社によっては必ずネクタイをしなければ
ならないとか 服の色はあんまり明るすぎないようにとか
そういうルールがあったりするところもあると思いますし 逆にあんまり服について細かく決めてなくて
まあお客さんが嫌な気持ちにならないような服 汚い服とかじゃなければ何でもいいよみたいなところもあるだろうし
あと他にもオフィスの中でしていいことしてはいけないこと オフィスの中でこうおやつとかお菓子とかジュースとか
飲み食いしていいかとか 仕事中に他の同僚としごをしてもいいのか
しごってまあ要するにおしゃべりしてもいいのかとか あの電話携帯電話ね自分の電話を
机に置いといてもいいのかカバンに入れなきゃダメなのかとか まあいろんなねルールがあると思うんですけど結構職場によって変わります
だからそれはその職場に入ってから周りの人に聞いたりとか周りの人がしている ことを見たりとかしてそれで覚えておくのが一番いいんじゃないかなと思います
ただまあ一つだけねどの職場に行っても大事なのは挨拶ですね 挨拶をしなくていい職場っていうのは
俺は見たことないかな 今までやってきたアルバイトとか仕事とか全部ですけど
あの挨拶は必ずしっかりしてました なのでどんなねあのその職場での文化があるかは入ってみないとわかんないんですけど
でも入った時にしっかり挨拶してそしてこうわからないことがあったら先輩に聞く っていうことをやってればいいんじゃないかなと思います
だからね前の職場で大丈夫だったから次も大丈夫とか 前の職場でダメだったことは次の職場でも全部ダメとかそういうことって全然ないと思う
ので気をつけてください ってことで今日はあの日本の職場での働き方についてですね
最初はねやっぱりその男女の違いとかで周りに女性がたくさんいて その中に男が自分一人だけだったら戸惑うこととかもねあるかもしれませんけど
大事なのって男だからこうとか女だからこうっていうんじゃなくて周りをよく見て そしてその周りの人がいやそうな顔してないかとか
そういうのにね気を配るのが 大事じゃないかなと思います
日本ではその空気を読むっていうのが大事ですからね では今日は日本のねオフィスっていうか職場での話でしたが皆さんの国の職場で
こう気をつけるべきことって何かあるんでしょうか 何か面白い話があったらぜひ教えてください
それじゃあ今日はこの辺で終わりますさようなら
