ep. 071 - 質問の答え02(N3)

(00:00:00) みなさんこんにちはTomoです。これは日本語を勉強している人のためのポッドキャストです。
(00:00:10) 教科書の日本語は面白くない。でもドラマや映画は難しすぎる。そんな人のために日本語教師のTomoがちょうどいい日本語で話をします。
(00:00:19) テーマはリクエストもできます。リクエストがある人はメールとかSNSでメッセージをください。
(00:05:47) っていうことだったんですけどそれが何かというと 質問するときにあなたはテレビを見ますかそれとも見ませんかっていう質問
(00:05:59) つまりあの 一緒に見ましょうって言ってるんじゃなくてテレビを見ますとテレビを見ません
(00:06:08) のどちらですかっていう質問をしたいときに テレビを見ませんかっていう言い方ができないから
(00:06:16) それだと一緒にしましょうって言ってるみたいだから だから見ます見ませんのどっちですかって聞きたいときは
(00:06:24) なんて言えばいいんですかっていうそういう質問です これはですねまあ言い方2つあると思います
(00:06:31) まず一つ目は最初に俺が言ったみたいにテレビを見ますかそれとも見ませんか っていうふうに
(00:06:39) 見ますと見ませんの2つを一緒に聞くと意味がわかりやすいですね その言い方だとテレビを一緒に見ませんかっていう意味だとは思われないと思います
(00:06:52) あともう一つなんですけどこのテレビを見ませんかっていう あなたはテレビを見ませんかっていう質問は多分
(00:07:02) 会話の中で こう誰かが
(00:07:06) 私はテレビを持っていませんとか私はテレビを全然見ませんって言った時にそれに ちょっとびっくりして
(00:07:14) あなたはテレビを見ませんかっていうふうに聞きたいんだと思うんですけど そういうふうに相手の話を聞いてそして見ませんかって聞きたいんだったらそれは
(00:07:27) ませんかとは言いません 誰か友達が私はテレビを全然見ませんって言った後に聞くなら
(00:07:35) テレビを全然見ないんですか 見ないんですかって聞きます このんですかっていう言葉の使い方は難しいと思うんですけど
(00:07:47) 誰かの話を聞いてそしてそれについて質問するときはんですかっていうふうに聞きます 多分ねこの質問してくれた人も
(00:07:59) あのそういう話だったと思うのでテレビを見ないんですか っていうふうに聞いたら自然だったんじゃないかなっていうふうに思います
(00:08:08) さあそれじゃあですね最後の質問 最後の質問はですねあの
(00:08:15) 先生の田舎はどちらですかっていう質問です あの実はねこのポッドゲストで俺の住んでいる場所
(00:08:23) 俺の田舎とかあの今住んでいる場所っていうのは1回も話したことがありません なぜかというと俺の住んでいる場所ってとても田舎なので近くに全然
(00:08:37) 日本語学校がないんですよ だからもし俺が住んでいる場所を言っちゃうと
(00:08:44) すぐにあそこの学校の先生だとわかってしまうので 俺の住んでいる場所は言わないようにしています
(00:08:54) ですのでねすいませんちょっとこの質問には答えられないんですが ただ
(00:09:00) 場所の名前は言えませんが田舎です 東京とか大阪とかそういう都会じゃありません
(00:09:08) 昔はねこの田舎に住むのってあんまり好きじゃなかったんですけど まあ若い時子供の時はねもっと大きい町に住みたいなと思ってたんですけど
(00:09:18) 大人になるとあんまりうるさいとこよりも静かなとこの方が住みやすいって思うよう になりますね
(00:09:28) 東京に住んでいたこともあるんですけど 1年か2年ぐらいで
(00:09:34) もう東京じゃなくて田舎に帰りたいなーって思いました さてそれじゃあですねえっと質問が全部で5個ありました
(00:09:44) まあ一つはちょっと答えることができませんでしたけど 皆さんもこんな風に何か聞いてみたいこととかあったらどんどんメッセージを送ってください
(00:09:55) 答えられる質問はどんどん答えたいと思います 答えられなかったらすみません
(00:10:02) じゃあ今日はですね質問全部答え終わったのでこれで終わりにしたいと思います 他にも皆さんからのメッセージが来ると嬉しいのでどんどんメッセージを送ってください
(00:10:13) それじゃあさようなら
