ep. 114 - 歯医者(N2)

(00:00:00) みなさんこんにちはトモです。これは日本語を勉強している人のためのポッドキャストです。教科書の日本語は面白くない。でもドラマや映画は難しすぎる。そんな人のために日本語教師のトモがちょうどいい日本語で話をします。
(00:05:28) 大事にしている人だったんですけど あの時々やっぱりね予防止火っていう考え方が全然わからなくて
(00:05:38) 酷くなってからもうどうしても我慢できないっていう状態になって初めて歯医者に来る 人っていうのもいるって言ってました
(00:05:46) ちょっとねその時にあの怖い話聞いたんですけど 歯って虫歯になると痛いんですけど
(00:05:56) 虫歯が酷くなると痛くなくなるそうです びっくりですよね
(00:06:03) あの 最初は痛いんですよでもどんどん酷くなって歯の神経とかが全部虫歯にやられて
(00:06:11) そこが全部死んでしまうと何にも感じなくなるから痛くないそうです でもそこまで酷くなると
(00:06:20) もうねもちろん歯はあの抜かなきゃいけないしその周りもすごい酷くなっているから 歯が全部なくなっちゃうみたいですね
(00:06:30) んでまぁさらに酷いと実は虫歯って あの死ぬことがあるらしいですね
(00:06:38) 虫歯が原因で あの虫歯菌が頭の中とかに入って死んでしまうとか
(00:06:46) 昔の人 あの何百年も前とかねそのぐらい昔だとやっぱりその虫歯が原因でなくなる人って
(00:06:55) いうのがいたらしいし あのー 何百年とかすごい昔の話なんですけど
(00:07:03) 虫歯が原因でなくなる人がいるからだから歯を治療した方がいいって言って 全然今と違うあの
(00:07:13) 麻酔とかもないしその なんて言うんですか
(00:07:18) 医療技術なんかも全然ない時に歯の治療をしてたっていう 国とかもあるみたいですね
(00:07:27) まあ麻酔なしで歯を抜くっていうのは 信じられないぐらい痛いとは思うんですけど
(00:07:35) でも死ぬよりはいいっていう感じですね 虫歯を治すためにあの麻酔なしで歯を削ったりとか
(00:07:43) あー自分で話してるだけでも痛くて気持ち悪いんですけど あとは酷くなった虫歯を抜くとかしてたみたいですね
(00:07:51) さてそんなわけでちょっと話がねそれましたけど 日本は歯医者が多いらしいです
(00:07:58) それは日本では予防歯科っていう考え方が広まってきたからなのかなっていうふうに 俺は思ってますが皆さんの国ではどうでしょうか
(00:08:09) 予防歯科ってねすごい大事だと思うんですよ 俺もね今最低半年に1回
(00:08:16) 本当は歯医者さんに3ヶ月に1回ぐらい来たほうがいいって言われてるので できるだけねそのぐらいのペースで行くようにはしてるんです
(00:08:23) 歯ってねあの 抜けるともう生えてきませんから
(00:08:28) で歯がないとねあの自分が高齢者になった時にすごい困ると思うので だからすごい気を使ってメンテナンスしてます
(00:08:39) 皆さんの国で予防歯科の考え方が広まってるかわかんないけどこれ聞いてる人は あの歯を大事にしてください
(00:08:48) 高齢者になってからも美味しいものを元気に食べましょう はいじゃあ今日は歯医者の話でした
(00:08:56) 皆さんの国の話とかもねなんかあったらぜひ教えてください はいじゃあ今日はこれで終わりますさようなら
