ep. 203 - 外国人に馴染みのない日本の習慣(N2)

(00:00:00) ん
(00:02:53) 例えば俺の住んでいるところだと燃えるゴミとあとはプラスチック あとプラスチックと後ペットボトル
(00:03:03) 瓶 館
(00:03:06) そしてその他のゴミあとは粗大ゴミですね これを全部分けて捨てないといけません
(00:03:13) あとはねあの厳しいところだと プラスチックはさらに2つに分けないといけないというところも聞いたことがあります
(00:03:22) あのね形がない柔らかいプラスチックと 硬いプラスチック製品ですね
(00:03:28) それは別々にしないといけない っていうねそういう細かい分け方の場所もあるみたいです
(00:03:37) えっとねこれがまあまず最初に思い浮かぶことですね えっと次に思い浮かぶことといえば
(00:03:46) うんと 声の大きさかなぁ
(00:03:50) えっと時々ね 警察とか呼ばれるんですけどあの
(00:03:56) 外で大きい声で話す人が多いっていうそういう苦情が来ることが時々あります えっと日本では建物の外
(00:04:07) まあ自分の家じゃなくてね外であんまり大きい声で話はしません もちろん子供がね大きい声であの騒いだり笑ったりとかそういうこともありますが
(00:04:18) 大人はそんなね大声で話をしません なのでもちろん電車の中とかバスの中とかそういうところでも大きい声では話をし
(00:04:27) ません えっとこれは知っている人も結構いると思いますが日本の電車やバスの中では電話で話を
(00:04:33) してはいけません 隣にいる友達とね小さい声で少し話すくらいだったらまあ大丈夫なんですけど
(00:04:41) だからとにかくあの 外では静かにっていうことですね
(00:04:49) えっとあとは 何かな何があるかなえっとね
(00:04:55) 日本で生活しててあーそうだあの 時間が厳しいって話は聞きますね
(00:05:02) これは そうだな旅行に来る人だと
(00:05:07) あの 予約した何かのイベントとかねまあツアーとかそういうものの時間をちゃんと守る
(00:05:16) っていうことを覚えておいた方がいいかもしれませんね 日本で生活している人はアルバイトとかをすると思うんですけど
(00:05:23) あとは学生だったらアルバイトだしあの社会人はね仕事 あの日本に仕事で来る人もいると思いますからそういう人は仕事の開始時間本当に
(00:05:33) 日本は厳しい1分でも遅れてはいけない えっとそれがねうちの学生には結構最初は
(00:05:42) 厳しいみたいですね大変だというふうに言ってますね あとはその旅行の時もねなんか予約したものがね
(00:05:51) あのちょっと遅れるともうキャンセルされちゃうとかそういうこともあり得ると思うので あの時間に厳しいんだっていうことを覚えておくといいかもしれませんね
(00:06:03) ただ時間に厳しいとは言ってもあのこれいいこともあって 電車とかバスの時間は正確です
(00:06:10) バスはまあちょっと遅れることもあるか道が混んでるとね あの渋滞があったら時間通りに来ないこともありますが電車なんかはね本当に
(00:06:20) 時間通り正確に来ますね だからそういう
(00:06:26) 自分が何かするときに他の人が時間を守って正確に何かやってくれるっていうのは ありがたいんじゃないかなあとは思います
(00:06:35) だから時間に厳しいのはよしやしありますね
(00:06:40) 8 ってことでまぁ3つ目はその時間に関して
(00:06:45) あとなんかあるかな それはもちろんね日本で生活してたら戸惑うことなんかたくさんあるとは思うんですけど
(00:06:53) 俺は日本人だからねあんまり気にしないかな あ
(00:06:57) 一つそういえばあったなあの 外国人が間違えるというわけじゃないんだけど外国人がもしかしたらびっくりするかもしれない
(00:07:07) っていう日本の習慣みたいなものはあります えっと実はこれね俺が台湾から日本に帰ってきたときに
(00:07:15) あの 俺は日本人だけどねずっと日本で生まれ育ってきたんだけど久しぶりに日本で生活をしたら
(00:07:24) なんかびっくりっていうかしばらく慣れなかったことがあってそれは 日本人がねすごい
(00:07:31) いろんなところで何回も何回もすいませんっていうこと 本当にもう全然大したことじゃないのに
(00:07:40) 何があってももうちょっとしたことでも何回も何回もすいませんすいませんて謝られて なんで俺こんなに謝られてるんだろうっていうふうにしばらく慣れませんでした
(00:07:52) ねあの だから外国の人もねもしかしたら日本に来たら
(00:07:57) なんかすごいいっぱいすいませんって言われるなっていうふうに思うかもしれません
(00:08:03) あのまあ今はもうね慣れたんですけど なんかね日本人ってすいませんってたくさん言うんですよ
(00:08:13) 8入ってことでこれが4つ目ですね
(00:08:17) 4かちょっと嫌な数字ですね84っていうのは日本では 4の読み方は別の読み方しなので嫌な数字です
(00:08:26) 4で終わるのはちょっとやだねなんかもう一つくらいないかな
(00:08:31) 8 そうだなうちの学生が日本に来て
(00:08:37) ちょっと慣れないこと
(00:08:41) ああ 英語が使えなくて大変だとか言ってますね
(00:08:46) あの どの国でも
(00:08:49) だいたい英語ってね使えるところが多いんですけど 日本に来てで母の英語を使ったら全然通じなくて
(00:08:58) すごい困ったっていう人が結構いますね あとはうちの学校に来た学生で日本語が全然わかんない人は最初は
(00:09:06) あの先生たちにも英語で話しかける人って結構いるんですけどでもうちの日本人の 先生たち英語で話しかけられても
(00:09:15) 全然英語で答えません なので
(00:09:19) まあ日本語学校だったらねそれいいことだと思うんですけどね 英語で話しても全然通じないからじゃあ日本語で話さなきゃって思って
(00:09:27) あのみんな最終的には日本語を使うようになるんですけどね でも旅行に来る人はねちょっと大変かもしれませんね
(00:09:35) ってことでちょっとこう外国人が間違えるというかびっくりする 日本の
(00:09:42) あの習慣というか文化というかねその一つが 日本人はとにかく日本語を使うということですね
(00:09:51) まあ日本は島国なのでやっぱり他の国の文化ってなかなか 馴染みにくいし
(00:09:57) そもそも他の国の文化をね真似する必要もないっていうところが結構あるので 日本は本当にも英語を使う必要がなくって日本語だけで生きていけるから
(00:10:08) 学校で英語を勉強するけどでも あのいきなり英語で話しかけられるとねちょっとびっくりするっていう人が多いかなと思います
(00:10:17) ねあの 英語圏の人も日本に来たらちょっと気をつけてください
(00:10:24) 配置はこれで5個ですね 84じゃなくなりました
(00:10:29) もちろん日本にね外国の人が来てびっくりすることって他にもまだまだたくさんあると は思うんですが
(00:10:37) とりあえず俺がパッと思いつくものを言ってみました 他にもねあの自分が日本に行った時に
(00:10:45) こういうところでびっくりしましたっていう話とかがあったらね ちょっとそれは俺にとってもすごい面白そうなので皆さんもメッセージとかでに教えてくれる
(00:10:54) と嬉しいです あの面白い話があったらねまた違うポッドキャストのエピソードでみんなに紹介しようかなと
(00:11:02) 思います はいじゃあ今日はねこの辺で終わりにしたいと思います
(00:11:07) 8今日のリクエストは n 2とか n 1ぐらいのレベルっていうことだったのでもう普通の 速さで普通に話してます
(00:11:15) ちょっと早いかなって思ったけどまぁそんなに難しい言葉もなかったし そのまま話し続けちゃいました
(00:11:23) 今日の話がね全部わかる人は日本人と話をしてもきっと大丈夫だと思います はいじゃあこの辺で終わりにしたいと思いますまた何かリクエストとかあったら送ってください
(00:11:34) それじゃあさようなら
