ep. 123 - おすすめの観光地(N3)

(00:00:00) ん
(00:05:12) 沖縄もまあみんな知ってると思うんですけどここもね綺麗なところです 北海道はやっぱり北にあって寒いところなので雪が有名だと思うんですけど
(00:05:24) まあ札幌の雪祭りとかもありますからね 沖縄は南だから暑いところですね
(00:05:32) なので沖縄の有名なものといえばやっぱり海ですね 沖縄ももちろん美味しい食べ物たくさんあるんですが
(00:05:41) これもね俺がまで行ったことがないけど絶対死ぬまでには行きたいと思っているところ の一つで
(00:05:47) 沖縄にとっても綺麗な海の有名なところがあるんです 青野洞窟っていうところなんですけどこれもねこのポッドキャストを聞き終わってから
(00:06:02) ぜひインターネットで調べてください 沖縄青野洞窟って調べると写真がたくさん出てきます
(00:06:11) あの洞窟っていうのは 山とかの横にできた穴みたいなところなんですけど
(00:06:20) そこが海の青の色になってすっごく綺麗な場所なんです なんかね綺麗すぎて
(00:06:29) 日本じゃないみたいこの世界じゃないみたいなそのぐらいすごい綺麗なところなんですよ 神秘的って言うんですけどすごく不思議な感じがして神様とかがいそうな
(00:06:41) ところ そのすごい神秘的な場所です
(00:06:45) 青野洞窟の青っていうのはその海の水の青なんですけど 水の色が変わって神秘的に見える不思議に見えるところといえばもう一箇所
(00:06:58) 皆さんにおすすめしたいところがあって 福島県っていうところの
(00:07:04) 五色沼っていう沼があります そこもね綺麗でしたここは行ったことがあるんです
(00:07:12) 沼っていうのは小さい湖みたいな池みたいなものなんですけど そこの水の色が
(00:07:21) 五色っていうのは5個の色です 色っていうのは色っていう感じですから沼の水の色が5個に見えるんですよ
(00:07:30) 赤とか青とか緑とか あの
(00:07:35) 嘘だと思うでしょ本当なんですよ なんかね俺も詳しくはわかんないんですけど
(00:07:42) その五色沼って山にあるんですけど火山でできたのかな確か 火山っていうのは山から火がたくさん出る
(00:07:51) あれが火山です その火山であの沼ができてそしてその時に
(00:07:59) あの 山の中のそのいろんな
(00:08:04) 成分とかが水の中に入ったらしいんですよ それで水の色がちょっと変わって見えるらしくて
(00:08:12) でまぁあのこれは これもねさっきから何回も同じこと言ってますけどインターネットで福島県
(00:08:20) 五色沼って調べてみてください綺麗な あの色の水の沼がたくさん出てきますから
(00:08:29) あとね福島県ってあのラーメンが有名です 北方ラーメンって言うんですけどそこもね五色沼行くんだったら
(00:08:39) まあ五色沼からちょっと遠いんですけどせっかく福島県に行くなら その北方ラーメンっていうのも食べてみるといいと思います
(00:08:50) 北方っていうのは町の名前なんですけどやっぱりラーメンが有名な町名だけあって ラーメンのお店がたくさんありました
(00:08:59) なんかその北方っていう町の中にラーメンの店が100個ぐらいあるらしいです すごいですね
(00:09:07) ってことで今日はその日本の有名な観光地のお話でした まあ北海道と沖縄とその福島県というところだけですけど
(00:09:19) 他にももちろんね日本にはいろいろな有名な観光地あるんですが ちょっと全部言ってると時間がかかりすぎるのでとりあえず
(00:09:29) 俺が行ったことがある場所と行ってみたい場所の 紹介をしておきました
(00:09:36) ちょっとねまだまだコロナウイルスあの大変な状況ですが なんとかこの状況をみんなで乗り越えてそして
(00:09:46) 安心して旅行できるようになったらぜひ日本に遊びに来てください それじゃあ今日はこの辺で終わりにしたいと思います
(00:09:54) さようなら
