ep. 139 - 日本人ならわかる問題(N2)

(00:00:00) 皆さんこんにちはトモです。これは日本語を勉強している人のためのポッドキャストです。
(00:00:10) 教科書の日本語は面白くない。でもドラマや映画は難しすぎる。そんな人のために日本語教師のトモがちょうどいい日本語で話をします。
(00:00:20) さて今日はですね、あのー、インスタグラムにちょっとね載せた、インスタとかツイッターとかに載せたやつなんですけど
(00:04:16) このちびまるこちゃんの問題の一つ目インチキのおじさんが出てきそうなものといえば これはねお鍋なんです
(00:04:23) お鍋の中からインチキおじさんが出てくるっていう歌の歌詞があります そしてその次忘れてはいけない偉い人は誰
(00:04:33) これはねエジソンですね エジソンは偉い人っていう風に歌詞があるんです
(00:04:39) はいじゃあ続いて今度セクション3に行きますね えっとね今度は歌の話だけじゃなくてアニメのその内容の話もあるんですが
(00:04:49) これはねあの たぶん日本で一番有名っていうか日本人が絶対見た
(00:04:59) アニメだと思うんですけども子供の時に アンパンマンです
(00:05:05) これ知ってる人いるかなぁ あの子供用品とか赤ちゃんのものが売ってるお店に行くと
(00:05:12) もう絶対にねアンパンマンのおもちゃとかがたくさん売ってるんですよ 世界で有名なアニメって言ったら最近だとやっぱり鬼滅の刃とか
(00:05:23) あとはワンピースとかナルトとかそういうのだと思うんですけど もうね鬼滅とかナルトとかそんなのはあの赤ちゃんのもの売ってる店になんか全然売ってません
(00:05:36) 赤ちゃんの見るアニメと言ったらやっぱりアンパンマン これは俺もね子供の時に子供というかそのちっちゃい時
(00:05:45) すっごいよく見てましたし多分ね他の人もこれ世代あまり関係なく 今の30歳40歳ぐらいの大人の人も
(00:05:56) 本当に最近生まれたばっかりの去年とか一昨年生まれたような赤ちゃんとかもみんなね アンパンマン見てると思いますそのくらい日本で一番有名なアニメ
(00:06:08) でちょっとそのアンパンマンの話なんですが アンパンマンって
(00:06:13) アンパン、パンのキャラクターだからお腹が空いた時に子供に自分の体を これ食べていいよって言ってあげるんですよ
(00:06:22) で何をあげるかというと頭なんです 頭をちぎって子供に食べさせるんです
(00:06:28) まぁちょっと怖い話ですけどねこうやって聞くと
(00:06:33) でその次に問題になっているのはアンパンマンと友達になれそうなのは あ違うアンパンと友達になれそうなのはですね
(00:06:42) えっとねこれは歌の歌詞なんですけども アンパンマンの友達
(00:06:48) 愛と勇気だけが友達っていうふうに言ってるんですよ なのでアンパンマンとアンパンと友達になれるのは愛です
(00:06:58) はいじゃあ今度はセクション4に行きますね セクション4はねこれはね
(00:07:03) ちょっと古いけど多分これは世界中で有名なアニメだと思いますが ドラゴンボールですね
(00:07:11) 問題2つもドラゴンボールの歌詞についてです ドラゴンボールのオープニングの歌の歌詞なんですがまず一つ目恐竜がいたら何を
(00:07:20) 覚えさせたいか 恐竜がいたらね玉乗りを仕込みたいっていう歌詞があるんです
(00:07:26) そして騒ぐ玉これはね歌を知らなくてもドラゴンボールがわかっていれば答えが 出るんですが元気玉です
(00:07:34) 主人公の悟空の必殺技 なので騒ぐ元気玉っていう歌詞があるから答えは元気です
(00:07:44) じゃあ最後セクション5に行くと今度は これはねもう有名なアニメなので
(00:07:51) あの知ってる人はすごく多いと思いますが 猫の形のロボットといえば
(00:07:57) もうそれはドラえもんしかいませんよねこれドラえもんについての問題です でドラえもんが好きなものって言ったら有名な話だと思いますがドラ焼きですね
(00:08:09) そしてその次8夢を叶えてくれるのはっていうのは これもまあ一応あの歌の歌詞についてなんですが歌を知らなくてもね
(00:08:19) ドラえもんがわかればわかると思いますドラえもんといえばポケットからいろんな ものを出してくれるので不思議なポッケですね
(00:08:28) 入ってことでねこれが日本人ならわかる問題なんですが 日本人ならっていうかまぁ日本に子供の時からずっと住んでてテレビとかを見てたら
(00:08:39) この問題10個は全部わかるんじゃないかなと思います 試しにねあの日本人の友達がいたらこの問題解かせてみてください
(00:08:50) もしかしたらちょっとね世代によってはわからない問題っていうのもあるかもしれません が
(00:08:57) ドラゴンボールの歌とかはねもしかしたら今はあんまり知らないかもしれないんです けど
(00:09:03) まあ30代ぐらいの人だったら この問題全部簡単にできると思いますぜひやらせてみてください
(00:09:11) ってことで今日は日本人ならわかる問題ってことでアニメについての話でしたね 今日ね言ったこのアニメが5種類ありますがこの5つのアニメ全部見ておくと
(00:09:25) 日本人の友達ができた時にね結構話が盛り上がるかもしれませんから 知らないのがあったら1回ぐらいはねみんなも見てみるといいと思います
(00:09:35) はいじゃあ今日はこの辺で終わりにしたいと思いますが 今日はねある意味日本の文化についてでしたから知らなかった人はしっかり日本の文化
(00:09:44) アニメについて勉強しておいてください それじゃあさようなら
