ep. 041 - 日本の政治(N2)

(00:00:00) みなさんこんにちはTomoです。これは日本語を勉強している人のためのポッドキャストです。
(00:00:10) 教科書の日本語は面白くない。でもドラマや映画は難しすぎる。そんな人のために日本語教師のTomoがちょうどいい日本語で話をします。
(00:00:21) テーマはリクエストすることもできます。リクエストがある人はメールやインスタグラム、ツイッターなどでメッセージをください。
(00:00:29) みなさんからのメッセージ待っています。
(00:07:29) 日本の政治は新しいやり方が必要だっていうそういう考え方ですね あと他にも政党ってもちろんたくさんあります
(00:07:41) 今日本にある政党全部で10個以上あります なのでちょっとね全部を紹介することはできませんが
(00:07:50) こういうのが日本の政党です それで政党がたくさんあって選挙の時にどの政党を選んで
(00:08:00) つまり 自分と同じ考え方の政党はどこなのかっていうのを選んでそして選挙をするわけですが
(00:08:09) じゃあ選挙の時に どんなことを
(00:08:14) 考えてどんな問題があって そしてその問題についてどう思っているのかっていう
(00:08:21) そういう論争の的になっている つまりみんなで
(00:08:27) 決めることがなかなかできないからたくさん話し合っている そういう話題ってどんなものなのかっていうのをいくつか紹介したいと思います
(00:08:37) えーとですね じゃあとりあえず去年の2019年の選挙の時に
(00:08:45) 話題になってた
(00:08:49) 争点論争の的ですね それは何なのかっていうと
(00:08:55) もちろんこれもちょっと全部言うとね あの
(00:08:58) 多すぎて時間かかっちゃうから いくつか少ししか紹介できないんですけど
(00:09:04) まずやっぱり憲法を変えるかどうかですね 憲法っていうのはあの法律みたいなものなんですけど
(00:09:14) 法律よりももっとあの
(00:09:19) 偉いもの偉いものっていうとちょっと変だね えーと
(00:09:26) 法律っていうのは結構細かいところまでね決めてるものなんですけど 例えばあの
(00:09:33) その国に住んでいる人 まあ日本に住んでる人ですね
(00:09:37) 日本に住んでいる人が守らなきゃいけないルールとか そういうのを決めるのが法律で
(00:09:44) その国に住んでる人じゃなくて 国全部
(00:09:50) 一人一人の人じゃなくて国がしなきゃいけないこととかを決めているのが憲法です この憲法を変えるかどうかっていうのを
(00:10:03) みんなでよく話し合っていますね それがまず一つ目
(00:10:09) 去年の選挙で論争の的になってたものですね
(00:10:16) あとは他にももうあの決まっちゃったことなんですけど 最近ではすごいみんなの生活に関わることだからみんなが興味を持ってたものっていうと
(00:10:27) 消費税ですね 消費税って
(00:10:33) 買い物するときに払う税金です 日本に住んでる人とかはもう
(00:10:39) わかると思うんですけど日本で何かを買うと10%お金を払わなければなりません 例えば100円のジュースとかを買ったら100円じゃなくて110円払います
(00:10:52) この10円分が消費税です 昔はこの消費税っていうのは日本はなかったんですけど
(00:11:02) 初めて消費税ができたときは3% そしてその3%が5%に上がって
(00:11:10) そして その次に5%から8%に変わったんですよ
(00:11:16) で去年までずっと8%だったんですけどそれが去年10%に上がりました
(00:11:25) この10%に上がったんですけど 上がる前に選挙があったから
(00:11:32) 予定通り10%に上げるかそれとも やっぱりやめるかっていうのが去年選挙の時に論争の的になってたものですね
(00:11:45) まあ結局そのまま予定通り10%に変わったんですけどね
(00:11:51) あと他にも去年の選挙の時に話題になってたものというと
(00:11:59) もちろん国と国の関係とかもねたくさんあるんですけど まあこれは外国の人がたくさん聞いてるからそこはちょっとね触れないでおきますね
(00:12:08) 他にも日本の国の中での問題の一つとして 同性婚
(00:12:14) とかあとは 男女の平等とかそういう
(00:12:20) 男性女性とかが問題になっているところが結構ありました 同性婚っていうのは
(00:12:27) 同じ性別つまり男と男とか女と女 この同じ性別の人が今日本では結婚できないんですけど
(00:12:39) それはちょっとおかしい 同じ性別でも結婚できた方がいいっていうのが一つ
(00:12:46) あと他にも その男女の話だと
(00:12:52) 簡単に言うと女の人が天皇になることができるかどうかということ 天皇ってわかりますか
(00:13:03) 多分安倍晋三日本の首相の名前はみんな知ってると思うんですけど 首相じゃない偉い人って言ったらいいのかな
(00:13:14) あの日本の政治とかはしないんですけどね よく説明だと日本の象徴
(00:13:21) 日本のシンボルですねっていうふうに言われたりしますけど 日本の政治はしないで
(00:13:29) 政治とちょっと別なこと ほんと例えばこう
(00:13:34) 何か すごい人がいたらその人に賞をあげたりとか
(00:13:40) そういうのをする 人ですね
(00:13:44) でこの天皇っていうのが今まで ずっと男の人だけだったんですけどずっとじゃないですけどね
(00:13:53) 基本的に男の人しかなれなかったんだけどでも女の人でもなれるようにするべきだ っていう考えの人もいますね
(00:14:03) そういうのも選挙をするときに どんな政党を選ぶかそういうのを考えるときの基準の一つですね
(00:14:14) さあこんなのが日本の 政治においての論争の的っていうものですね
(00:14:20) どんなことについてみんなで議論をしているか もちろん他にもね議論の的になるようなことっていうのはたくさんあるんですけど
(00:14:30) 今日はポッドキャストですしね簡単に説明できるものだけね いくつか紹介してみました
(00:14:37) ちなみにあのこれは政治っていうか政治をする前の段階の話なんですけど 俺がちょっと気になってる問題が一つあってそれは何かっていうと
(00:14:51) 日本では選挙に行く人がすごく少ないっていうこと 政治についてはねあんまりこういう場では意見は言わないようにはしてるんですけど
(00:15:05) ただこの選挙に行かないっていうのは政治をする前の段階ですからね 政治がどうこうっていうんじゃなくて
(00:15:13) 選挙に行かない 特に若い人ですね
(00:15:18) それはもう日本の大きな問題だと思うので これはどの政党に投票するかとかそういう話じゃないんですよ
(00:15:28) なのであの
(00:15:32) この問題はね ぜひともなくなるように
(00:15:38) 若い人みんなに選挙に行ってもらいたいなっていうふうには思ってます 皆さんもねこれ聞いてる人
(00:15:45) 日本人の友達いたら 選挙行ったって聞いてみてください言ってなかったら
(00:15:51) 必ず行きなさいって怒ってください やっぱりこう若い人とか年を取った人とかいろんな人が選挙に行っていろんな人の意見を反映させて
(00:16:04) そして政治をしていかないと 一つの国っていうのはあのちゃんとね動いていかないと思うので
(00:16:13) それについては本当に大事なことだなぁと思います 皆さんの国ではどうでしょう皆さんの国でももちろん選挙があると思うんですけど
(00:16:23) 選挙にみんな行くんでしょうか それともこんなに選挙に行かないのは日本だけなんでしょうか
(00:16:30) 皆さんの国の話とかもいろいろ聞かせてくれると 嬉しいのでぜひメッセージメール送ってください
(00:16:39) 皆さんからのメッセージがこのポッドキャストを続ける 動力になります
(00:16:46) このポッドキャストね あの
(00:16:48) 俺がいくら作ってもお金がもらえるわけじゃないんですけど お金がもらえなくてもやっぱりこうみんなから
(00:16:57) ポッドキャストを聞いてますとか役に立ちますとか面白いですとか そういうのを言ってもらえるとお金なんかなくてもいいからね
(00:17:06) もっといろいろやろうなっていうふうに思えるのでぜひ皆さんからのメッセージ お待ちしてますお願いします
(00:17:15) さあそれじゃあ今日はこの辺で終わりにしたいと思います さようなら
