ep. 146 - 競馬(N3)

(00:00:00) みなさんこんにちは。トモです。これは日本語を勉強している人のためのポッドキャストです。教科書の日本語は面白くない。でもドラマや映画は難しすぎる。そんな人のために日本語教師のトモがちょうどいい日本語で話をします。
(00:06:10) やってる人もまあ それなりにいる
(00:06:13) だから時々競馬がニュースになったりとか なんかね大きい競馬の大会とかがあるとテレビでやったりとかはしてますね
(00:06:24) そんな感じです まあやっぱりね認められたギャンブルだとは言っても
(00:06:30) ギャンブルですからね競馬が好きでハマりすぎてお金がなくなって借金してそれでまた 競馬をやってっていうような人も中にはいるらしいので
(00:06:43) そういうのはねやっぱりギャンブルの良くないところじゃないかなと思うんですけど まあ馬に関する娯楽って
(00:06:51) どこの国でもあるもんだし まあ動物が好きな人とかにはねすごく楽しいのかもしれませんね
(00:06:59) というわけでええと 競馬についてのかなぁちょっと
(00:07:05) あんまり競馬について話はしてないですがまあ日本には競馬というものがありますよ っていうことでした
(00:07:13) はいじゃあですねあのすいません俺がわからないことは たくさんありますのでリクエストをもらってもちょっとね
(00:07:20) 大した話ができないこともありますが みなさま何か
(00:07:26) 知りたいことというか聞きたいことがあって もし俺がねたまたまそれについて何か知ってて何か話せるっていうことで
(00:07:34) あれば そういうエピソードを作りたいと思いますのでまあ
(00:07:38) 皆様ねとりあえず何か聞いてみたいことだったらリクエストを送ってみてください それじゃあ今日はこの辺で終わりにしますすいませんねあのリクエスト通りの
(00:07:46) テーマじゃなくてなんか変な話になっちゃって はいそれじゃあさようなら
