ep. 118 - ペラペラになる方法(N2)

みなさんこんにちはトモですこれは日本語を勉強している人のためのポッドキャストです
教科書の日本語は面白くないでもドラマや映画は難しすぎる そんな人のために日本語教師の友がちょうどいい日本語で話をします
あのそんなに簡単に他の国に行って生活するなんてできないですからね だから自分一人で勉強している時とか
あとは学校で勉強している時にいくらやってもなかなか上手に話せない どうすればいいんだって言って悩む人が多いんですよね
じゃあどうしてその国に行って生活していると上手になるのか そこも考えてみましょう
実は俺の学校にいる留学生で 日本に1年とか2年とかいるけどなかなか日本語が上手にならない人もいます
だからその国に行って生活すれば確かに上手になるかもしれないんですけど その国で生活さえすればそれだけで上手になるっていうものでもないんですよ
じゃあペラペラになるためにどんなことをする必要があるのかって言うと 常に
これは日本語だったらどうやって言えばいいのかっていうことを考えることです 日本に住んでれば
話し相手が日本人だったら 全部日本語で言わなきゃいけないからずっとそれ考えてるんですよ
ただ日本に来てそれで日本で生活してるけど同じ国の人 自分の国の友達としか話さないような人っていうのはやっぱり全然上手にならないんですよね
だから逆に言ったら日本にいなくても常にこれ日本語で何て言うんだろうって考えてれば それで日本語は上手になるんですよ
これ結構難しくてもう本当は何かにつけてこれ日本語で何って考えるんですけど 例えば道を歩いてて邪魔な人がいたら
すいませんちょっとそこどけてくださいっていうのを まあ自分の国の言い方と日本語の言い方とって違うと思うんですけど
あのじゃあ日本語だったらどうなるのかなとか ちょっとどけてくださいって日本語で言ったら失礼かもしれないじゃあ丁寧に言うんだったらどう言えば
いいのかなとか あとは買い物の時もそうですねそれくださいとか
あのもうちょっとこれ小さいサイズのありませんかみたいなのを 日本語でどう言ったらいいのかとか友達と話す時とか家族と話す時なんかも全部
そうでこういう時はどう言えばいいのかっていうのを常に考える これが日本語が使えるようになる第一歩ですね
でこれが第一歩なので2歩目もあるんですよ 2歩目はちょっとね自分一人だとあのなかなか難しいんですけど
さっき言った第一歩常にこれは日本語で何て言うのかって考える そして2歩目ではその考えた日本語を実際に使うんですよ
でどうやって使うのかっていうとまあ日本に来て生活するのが一番なんですけど 日本にいない人自分の国で勉強している人は今はインターネットがあるから
インターネット使ってあの いろんな国の人とかまあいろんな国の日本語を勉強している人とか
あとは日本人とかと会話をしてみると それで上手になりますね
でこの他の人と会話をしてみると上手になるっていうのはそれはどうしてなのかっていうと
自分が考えた日本語が正しいかどうかがわかるからです つまり自分が何か
日本語でこう言えばいいかなって考えてそれを使ってみた後でそれが正しければ 話し相手がちゃんと答えを返してくれるし
もし正しくなかったら話し相手が 例えば
ごめん今なんて言ったのとかそれどういう意味とか 反対に質問で返してくると思うんですよ
そういうことをしているうちに今の自分の日本語は正しくなかったから じゃあ別の言い方にしようとか
あとは言いたいことがあるけどうまく言えないっていう時に ちょっと別の言葉英語とか何か共通の言語があるんだったらそういうので
ごめんちょっとこういうふうに言いたいんだけどなんて言えばいいっていうふうに確認したり とか
そうすることで上手になります この2歩目の実際に使ってみて相手の反応を見るっていうのがすごく大事で
言語っていうのはとにかく使わなきゃダメなんですよ なんで使わなきゃダメなのかっていうと使ってみないとそれが正しいかそれとも
間違ってるかっていうのがわかんないからですね 使ってみてそして相手の反応を見てで自分が求めてる反応じゃなかったら自分の言葉は
間違ってるんだってわかるから だからあの別の言い方を考えたりする別の言い方を調べたりする
それを繰り返すことでどんどん上手になっていきます で
これって自分一人でもまあできないことはないんですけど やっぱり話し相手とやった方が上手にはなります
なぜかというと 今回もらったメッセージはペラペラになりたいっていうことですね
上手に書けるとか聞くことができるっていうんじゃなくてペラペラ 流暢に話せるようになりたい
流暢に話せるペラペラっていう風に判断できる基準の一つはやっぱり反射神経なんですよ 何かを聞いてそしてすぐに返せる
そのスピードが早いと結構日本語下手でも言葉とか文法とか間違ってもこの人ペラペラ だなっていうふうに思われることが多いです
まあ俺も中国語がそうだったんですよ そんなに難しい言葉は知らないけど日常のやり取りだったらすごい反射神経がいい
何か言われたらさっと返せるだからこの人中国語 上手っていうかまぁ台湾人なのかなというふうに思われたんですけど
この反射神経っていうのはやっぱり文字だけではなかなかできない 実際に話をしないと何か聞いた時にすぐに返すっていう練習ができないので
だからできればこう話し相手会話の相手を見つけて そして練習するとペラペラになれるかなと思います
じゃあちょっとまとめますね どうすればペラペラになるのかっていうともちろんこれって人によって違うと思うんですけど
まあやっぱりその国に住んでいるのと同じような環境を作るってことが大事なので まず第一歩
常にこれは日本語で何て言うんだろうと考えること そして第2歩それを実際に使ってみること
この第2歩のところで実際にこう話す相手が見つからなかったら自分一人でもいいから 何かに書いたりとか頭の中で声を出すだけでもいいからやってみて
そして話し相手がいればその話し相手の反応を見る 話し相手がいないんだったら後で家に帰ってからでもいいから
ちゃんと調べてみて自分が考えた日本語が正しかったかどうかっていうのをチェックする これを繰り返すのが
ペラペラになるための 近道かなという気がします
このね常にこれ日本語で何て言うのかって考えるのって結構難しいんですよ 普段の自分の生活
防護だったら何にも考えなくても言えるようなこと 例えば
歩いている時にちょっとどこかにぶつかっていて誰だよこんなとこに自転車置いたの邪魔じゃん
というふうに思ったりとかしてその時にそれを日本語で言えるかって考えると結構 難しいと思うんですよ
なのでそれをねやってみるといいんじゃないかなと思います さあ
8 言語の話になるとねちょっと俺の一応本職の話なので長くなりがちですが
他にもいろんな日本語の練習方法ってあるとは思うんですが この常に日本語で何というか考える
これって何も道具もいらないし自分一人でもできることなので 日本語を上手に話せる下地作りとしてぜひやってみてください
他にも何か日本語の勉強についてとかあの 悩み相談とかあればぜひメッセージを送ってください
それじゃあ今日はこの辺で終わりにしたいと思いますさようなら
