ep. 038 - 読解の勉強方法(N２)

みなさんこんにちはTomoです
これは日本語を勉強している人のためのポッドキャストです 教科書の日本語は面白くない
すごくわかりにくいっていうか間違えやすいっていうか そういう問題が少ないんですよ
だから日本人だったらまああんまり間違えない すぐに答えがわかるような問題が多いです
だからN3ぐらいのレベルの時には 読解のためだけの特別な練習っていうのはあんまりしなくていいと思うんですけど
とにかくたくさん読む 早く正確に読むとかそういうのも必要だとは思うんですけど
日本語を読むことその長くてちょっと難しい日本語 それをたくさん読むことに慣れるのが大事だなぁと思うので
だから とにかくあのたくさん読むたくさん読んでたくさん問題を解く
それだけでまあ結構ねテストの合格点は取れるんじゃないかなと思います
問題になってくるのはN2N1ぐらいの難しい問題ですよね こういうのだと日本語が上手なだけじゃなかなか正解できなくなります
日本人でも間違える問題っていうのが出てきます どうして日本人が間違えるのかというと
日本人がっていうかつまり日本語がとても上手な人が間違えるのかというと 細かいところに答えが隠されている時もあるし
細かいところに ちょっとこう見落とすだけで答えが180度反対になってしまうような
そういうね 難しい問題が出てくるんです
なので こういう高いレベルの方になってくると読解のためのちょっと特別な練習とかが必要になってきます
じゃあその読解のための特別な練習ってどんなものなのかっていうと いろいろあるんだけど俺が大事だなーって思う
読解の練習っていうのはとりあえず3つ 3つをしっかり練習した方がいいなと思っています
じゃあその3つって何かっていうと この3つちゃんと名前があるんですけどまず一つ目がスキャニング
2つ目がスキミング この2つはね結構有名な
読解の練習じゃないかなと思います あともう一個
やった方がいいなと思うのは 推測するっていう練習です
推測とか予測とかね じゃあ今言った3つの特別な技術
読解のための技術ってどんなものなのかっていうのをちょっと説明しましょう まず一つ目がスキャニング
スキャニングっていうのは あの
文章を全部読むんじゃなくて 欲しい情報だけを探してそこだけを読むっていう練習です
わかりやすい例だと例えば辞書 辞書を読むときに
辞書を読むっていうか辞書を使うときにわからない言葉だけを調べればいいのに 1ページ目から全部読む人っていないですよね
辞書というのはその調べたい言葉だけその欲しい言葉の意味だけを探して読む これって他の読解の問題でも同じで例えば試験の問題だと
旅行のパンフレットを見て何月何日の a コースの旅行の予定に友達2人と言ったら
いくらになるかとか
何日までに予約すればちょっと安くなるのかとか そういう
全部読まなくてもその何月何日の部分だけを探して読み取ることができるとかねそういう 欲しい情報だけを探して読むっていうのがスキャニングです
スキャニングの練習したかったら 例えば
今言った旅行の話とかねつまり旅行のパンフレットとか あの
まああの 日本にいない人は旅行のパンフレットってなかなか手に入らないかもしれないけど
ホームページとか行ったらね見ることができますからそういうので 旅行のいろんな情報とかを見て
自分が興味のあるところだけを見るとか知りたいことだけをちょっと探してみるとか あと他にもこのポッドキャスト聞いてる人はもちろんインターネットみんな使える
でしょうから インターネットで
あの 日本のホームページ例えばヤフーとか
そういうのを見てそして自分が面白そうだなって思うところだけをどんどん探して読む っていうような練習していくと
欲しいものとか自分が知りたい気になる言葉だけを読むっていう練習ができますね 外国語を勉強していると
どうしてもわからないことが多いから最初から順番に全部読まなきゃいけないっていう 考えになっちゃう人が結構多いんですけど
それだとやっぱり時間もかかるし無駄なことが多いので 早く欲しい情報だけを読み取るこの練習するとテストの時に点数が取り
やすくなります
じゃあ続いてスキャニングの次 スキミングっていうものなんですけど
このスキミングっていうのは スキャニングとちょっと似てて早く読む練習ではあります
ただその早く読む方法っていうのがちょっと違います スキャニングは
欲しい情報だけどこか一部分だけを読むっていう練習なんですけど スキミングは一部分だけじゃなくて
文章全部を読みます全部読むって言うとちょっと違うな 文章全部の書かれていることを
早く読み取る まあちょっと難しいかもしれないですけど
スキミングっていうのは 文章の最初から全部の言葉を一個ずつ
しっかり読むっていう読み方じゃなくて 文章の中の大事な言葉だけちょっとずつ読んで
そして文章全部は読まないけど大体この 人の言いたいことはどんなことなのかっていうのを考える
そういう読み方です 全部読まないけどそこに書かれていることがどんなことなのか考えるって
いうのは 例えば
わかりやすいのだと ニュースとか
インターネットでニュースを見て ニュースのタイトルのところ
そこだけ見ると全部読まなくてもそのニュースがどんなものなのかっていうのが ちょっとわかりますよね
そしてそれだけじゃなくてタイトルを見て あとはニュースの中で同じ言葉が何回も出てたら
例えば パソコンっていう言葉が何回も出てパソコンパソコンパソコンとか言ってたら
何かパソコンが爆発したとかそういうニュース あのパソコンに関係があるニュースかなとか新しいパソコンが出たのかなとか
ちょっとわかりやすくなりますよね タイトルを見てそして同じ言葉が何回も出てたらそれを見て
っていうことをしていると 単語を全部読まなくてもだいたいどんなことが書いてあるのかわかるようになります
これが読解の スキミングっていうものです
じゃあスキミングの練習ってどうやるのかっていうと 今みたいに同じ言葉が何回も出てたらそれが大事な言葉だから
きっとそれに関係がある話だなっていうのがすぐわかりますね 何回も出てくる大事な言葉
キーワードとか言いますけど その文章の中のキーワードを探す練習なんていうのもいいですね
あと他にも 言葉に注目するならキーワードだけじゃなくて
少し長い文だったら 接続語なんていうのも気にするといいですね
接続語っていうのは 結構簡単な言葉も難しい言葉もいろいろあるんですけど
みんなが絶対知っている言葉だと例えばでもとか だからとか
しかしなんてのもありますね こういうのが接続語って言います
この接続語っていうのを 気をつけて読むようにすると
スキャニングスキャニングじゃないスキミングができるようになります どうして接続語が大事なのかというと
例えばわかりやすい言葉だと つまりっていう言葉
この言葉を覚えておくと本当に便利で 読解問題で長い日本語が出てきてわかんないっていう時に
一番最後につまりって書いてあったらそれはもう簡単なんですよ 全部読まなくてもつまりの後ろだけを読んだら
その文章全部でどんなことが書いてあったのかだいたいわかります つまりっていうのは同じことを
別の言葉で言い換えるときに使う言葉 難しいこととかをもっと簡単な言葉で言うときに使う言葉だから
その難しくてわかんない全部読むことができないっていう時も つまりの後ろだけを読んだら他のことが何書いてあるかだいたいわかります
楽でいいですね こういうふうに
大事なところだけキーワードとか接続の言葉とかそういうところを読んで だいたいどんなことが書いてあるのかなっていうふうに考えるのが
スキミングっていう技術です
そして 最後に
推測するっていう練習 推測何かを考えるんですね
どんなものかなっていうふうに 推測するものっていうのもいろいろあるんですけど
例えば わからない言葉が出てきたらそれがどんな意味なのかって考えるとか
絶対に読解問題の中にわからない言葉って出てくると思うんですよ n 2とか n 1になってくるともうすごい難しいから
すごい難しい言葉たくさん出てきて全部は覚えきれないと思うんですよね でも全部覚えきれてなくても読解問題ってできます
日本人だって日本語にある言葉をすべて覚えてるわけじゃないですからね わかんない言葉がわかんない言葉があったら
文脈からどんな意味かを考えます
文脈っていうのは 話の流れ
その前にどんな話をしてたかその後にどんな話をするのか これが文脈です
前と後の言葉を見るとわからない言葉の意味も考えることができます こういう推測の練習がとても大事になります
日本語だと漢字があるから みんな漢字を使わない国の人は漢字があんまり好きじゃないかもしれないけど
感じて すごく便利なもので知らない言葉でも
その知ってる感じだったら だいたいどんな意味なのかというふうに考えることができます
じゃあ漢字から意味を考えるってどんなことかどうやってやるのかっていうと 例えば
今俺の手元に n 2ぐらいの読解の本があるんですけど この中にある言葉だと
不眠症とか 不眠症って聞いたことありますか
ちょっと難しい言葉かもしれないけど漢字を見ると意味はすごく簡単なんです 不眠の不っていうのは
不便とかの不 眠っていう漢字はこれは眠いっていう時の漢字ですね
そして症っていうのは症はまあちょっと難しい感じかもしれないけど形を見ると
病気の 病気っていうか体の調子が悪いっていう意味だなっていうのがわかります
病気の病とか痛いとか疲れるとか 全部同じ形がありますよね
あれやまいだれっていう名前の形なんですけど 病気とか体の悪いところに関係がある感じの形です
なのでこういうのも不眠症つまり 眠くならない病気眠ることができない病気っていうふうに意味を考えることができます
知ってるあまり難しくない感じから意味を考えたりするっていうのが あの
大事になります推測の一つですね あと他にも言葉の意味を考える言葉の意味を推測するっていうだけじゃなくて
文章の内容を推測するっていうのもあります これさっき言ったあの
接続の言葉ねでもとかそういうやつこういうのがわかると スキミングの時にも役に立つんですけどつまり早くね
だいたいどんなことが書いてあるかを読むっていう練習 それだけじゃなくて
しっかりと接続の言葉を理解していればそもそも読まなくても だいたいどんなことが書いてあるかわかります
まあ一番そのシンプルな接続のその推測するための言葉って言ったらでもとか しかしですよね
会話の時にでもっていうのをよく使うと思うんですけど 例えば
明日休みだから 飲みに行かないって言われた時にでも
って言われたら その人は飲みに行くのか行かないのかって言うと
わかりますよね飲みに行かないやでもって言ったらその人飲みに行かないですよね でもの後は反対のことが来るっていうのがわかってるから
全部言わなくてもわかるんです 読む時も同じででもとかしかしとかそういう言葉があったらその後ろは反対の
ことが書いてあるから 読まなくてもだいたい何が言いたいのかわかるんですよ
こんな風に その文章にどんなことが書いてあるのかっていうのを
推測予測していくと早く読むことができます
さて読解の技術って本当に 最初にも言ったけどいろいろあるんです
いろいろあるから だから難しいのかもしれないですけど
あの ここでねやっぱりこんな10分20分の短いポッドキャストで
全部読解の技術を説明しきることはちょっとできないんですけど でも今言った3つの
技術っていうのは 有名っていうかそのみんなが練習するものだし
だいたいね読解の 練習の本とか見ると同じようなこと書かれてますから
皆さんも読解の練習したいなって思ったら 読みたいとこだけを読む練習とか
キーワードとかあとは接続の言葉とかそういうのを探して 早く全体の意味を考える練習
そして わからない言葉の意味を考えたり
読んでないけどでもその後に大体どんなことが書かれるのかっていうのを推測する 練習
そういうのをしていくと読解がちょっと得意になるかもしれません 頑張ってください
はいそれじゃあ今日はねこの辺で 終わりにしたいと思います
ポッドキャストは聞く練習ですがこれから頑張って読む練習の方もねしてください ちなみに聞く練習はこのポッドキャスト何回もしてるとできますから
皆さんたくさん聞いてくださいね あとあの友達とかにもぜひ教えてくだ教えてあげてください
それじゃあ今日はこの辺で終わりましょう皆さんさようなら
