ep. 174 - 飲み会(N2)

みなさんこんにちは、ともです。これは日本語を勉強している人のためのポッドキャストです。
教科書の日本語は面白くない。でもドラマや映画は難しすぎる。そんな人のために日本語教師のともがちょうどいい日本語で話をします。
さて今日のリクエストはですね飲み会についてですね 飲み会についてどう思いますかっていう質問なのでそれに答えたいと思います
若い人とか新しく入った新人とかがいろいろやらなきゃいけないとか そういうのが昔はあったけど今はあんまりないのでまあ普通にねあの
楽しめるかなとは思います まああの普通に楽しめるって言ってももちろんマナーとかはね大事ですけどね
上下関係とかもあるかもしれませんがそういうの関係なく たとえね
相手がその自分と同じ立場の同僚だったとしても 酒の席だからと言って失礼なことっていうのはやっぱり許されないですからねそれは友達
とかでも同じですね なのでそういう基本的なルールとかルールっていうかマナーとかですね
相手にとって不快なことをしないということを守れば 最近の飲み会は結構
気軽にいけるんじゃないかなっていう気がします あとまあ早く帰りたい時なんかもね俺は結構
職場の飲み会でも終電があるからとか明日ちょっと朝早いんでって言って途中で 抜けることがほとんどですね
最後まで参加した飲み会ってあんまりないかもしれません
ってことでねこれがあの飲み会についてどう思うかということですが 昔の飲み会は俺も結構
やばいと思いますすごい日本のブラックなところですよね 家庭とかもすべてを犠牲にして仕事の後に職場の人と飲み会に行って時間も使って精神
すり減らしてっていう あまり良くない
習慣の一つだったと思いますが今はお酒を飲みたい人お酒が好きな人が楽しめる イベントにちょっとずつ近づいてきてるんじゃないかなと思います
きっとね日本人は酒が好きだから飲み会時代はなくなるないと思うんですけどね ってことでね今日は日本の飲み会についてどう思いますかっていう質問だったので
それについて話してみました まあ個人的にはね俺は酒が好きだから飲み会好きなんですけどね
あの今の職場でももうちょっと飲み会が多くてもいいんじゃないかなというふうには思います けど
でもその飲み会がどんどん少なくなって参加しなくてもいいっていうところも増えて あの
そういう状況はあの お酒が好きじゃない人とかね自分の時間を大切にしたいという人にはすごく
いい傾向かなぁと思います はいじゃあ
えっと今日は飲み会についてでしたが他にも何かこう日本のね 今言った飲み会みたいな習慣とかねそういうことについて何か聞いてみたいっていう人は
またリクエストとかどんどん送ってください 皆さんからのメッセージとかコメントを待ってます
それじゃあさようなら
