ep. 069 - つけもの(N3)

(00:00:00) みなさんこんにちはTOMOです。これは日本語を勉強している人のためのポッドキャストです。
(00:04:20) その食べ物を漬物にしたものですが すごく酸っぱくてしょっぱい食べ物なので
(00:04:28) 初めてね外国の人が食べるとびっくりするかもしれません。 さあそれじゃあ日本人はこの漬物っていうのを
(00:04:39) 今言ったみたいに必ずセットになっている料理っていうのもあるんですけど そうじゃない時も多いです。
(00:04:47) じゃあどんな時に漬物を食べるのか 漬物はご飯のおかずの一つとして食べることが多いです。
(00:04:58) でもご飯のおかずなんだけど漬物がメインのおかずになるっていうことは ほとんどないと思います。
(00:05:09) だいたいね野菜の漬物とかを あのご飯を食べるときに一緒に食べるんですけど
(00:05:16) でもその他にもう少しこう大きい メインのおかずがあってその横にちょっとだけ漬物が置いてあるっていうことがほとんどです。
(00:05:29) あとねご飯のおかずじゃなかったら他の食べ方は 俺の場合は酒を飲む時
(00:05:38) どこか居酒屋とかに行ってお酒を飲む時はだいたい漬物を食べます。 漬物ってそんなに多くはないんです。
(00:05:50) あの塩の味がすごく強いからたくさん食べすぎると体に悪いですからね だから
(00:05:59) あんまり多くないから 他のいろんなおかずとかを食べて
(00:06:05) お腹いっぱいじゃないけどでもまあたくさん食べた でもあと少しだけ何か食べたいっていう時とかに
(00:06:15) あの漬物をねよく食べます。俺の場合は。 多分日本人なら漬物を食べたことがないっていう人はいないんじゃないかなって思うんですけど
(00:06:29) そのぐらい漬物ってたくさん日本で売られています。 どこのスーパーに行っても絶対漬物があるし
(00:06:39) 今言ったみたいに俺がお酒を飲むところ居酒屋にも必ず漬物があるし それに塩で作る漬物っていうのは簡単なのでうちでもできます。
(00:06:55) なのでねあの日本人は多分子供の時からいろんな漬物をたくさん食べていると思います 皆さんも日本の味
(00:07:06) 漬物の味を知りたかったら自分で作ることができます 作り方はいろいろありますけど
(00:07:15) googleでねあの 探すと簡単なレシピが出てきます
(00:07:22) 例えば google で塩漬物レシピって3つの言葉を入れてそれで探すといろんな作り方が出てきます
(00:07:35) 多分ねその塩漬物レシピって3つ言葉を入れて 一番上に出てきたやつが一番簡単だと思います
(00:07:47) いろんな野菜で作ることができますから 日本と同じ野菜がなくても皆さんの国にある野菜
(00:07:55) それで作ることができると思います まあ日本でよく作る漬物の野菜って
(00:08:02) きゅうりとかキャベツとか あと人参とかね
(00:08:08) そういうのだったら他のどの国でも結構あるんじゃないかなぁとは思いますけどね
(00:08:14) ぜひこの漬物皆さんも作って食べてみてください ただねあの塩味塩をたくさん使うので
(00:08:25) 食べすぎると体に悪いからそれは気をつけてください 食べすぎないでください
(00:08:32) はいそれじゃあ今日は日本の料理漬物の紹介でした そういえば俺もね台湾に住んでた時
(00:08:42) 外国だからもちろん日本と同じ漬物って売ってないんですけど でもやっぱり漬物が食べたくて
(00:08:50) 台湾に住んでいる時は台湾の野菜で漬物を作ってました 日本人にとっては漬物は欠かせない食べ物の一つかもしれませんね
(00:09:02) 皆さんの国でもそのみんながよく食べる食べ物とか これがないと嫌だっていうものがたくさんあると思います
(00:09:14) そういうものがあったらぜひね教えてください さあそれじゃあ今日はこの辺で終わりにしたいと思います
(00:09:21) 他にも皆さんも何かリクエストとかあったら送ってください 皆さんからのメッセージ待ってます
(00:09:28) それじゃあさようなら
