ep. 003 - 夢(N2)

(00:00:00) みなさんこんにちはトモです
(00:04:48) ゾンビに追いかけられる夢はよく見るんですけど
(00:04:51) あの別にバイオハザードとか
(00:04:54) そんな好きじゃなかったはずなんですけど
(00:04:57) でも最近は追いかけられる夢見ても
(00:05:00) あんまり夢って気づかないんですよね
(00:05:02) まあだから最悪ですよね
(00:05:04) ずっと怖いままで朝起きたらめちゃくちゃ疲れてるんですよ
(00:05:08) で最近はできないんだけど
(00:05:11) この名責務を見ることができないんだけど
(00:05:14) でも実は普段見る夢って
(00:05:18) 訓練次第ではコントロールできるらしいですね
(00:05:22) だから毎日寝て夢を見たら
(00:05:25) その夢を自分で自由に見たい夢に
(00:05:28) 変えることができるんですよ
(00:05:30) すごい楽しそうですよね
(00:05:32) でこの訓練っていうのがどんな訓練かっていうと
(00:05:36) 夢日記がいいらしいんですよ
(00:05:39) 夢日記って聞いたことあるかな
(00:05:41) あの枕元とかにノートとかなんか書くもの
(00:05:45) メモするもの置いといて
(00:05:47) で朝起きたら夢を覚えてるうちに
(00:05:50) すぐにノートに書いておくんです
(00:05:53) だから夢の夢で見たことを日記に書く
(00:05:56) それが夢日記
(00:05:58) それでね実は俺も名責務また見たいなと思って
(00:06:02) 昔ちょっとこの夢日記をつけてたことあるんです
(00:06:06) なんか夢コントロールできたら
(00:06:09) 楽しそうじゃないですか
(00:06:10) 楽しそうじゃないですかっていうか
(00:06:12) 昔はよく見てたから楽しいんですよ
(00:06:14) よくやってたのは空を飛ぶこと
(00:06:18) 空を飛んだりとか
(00:06:20) 美味しいものなんかも食べ放題だし
(00:06:23) 一人で遊ぶのつまんなかったら
(00:06:26) 可愛い女の子とかいくらでも友達になれるし
(00:06:30) それで夢日記つけてたことがあったんですけど
(00:06:33) でも怖い噂を聞いてやめちゃいました
(00:06:37) どんな噂かというと
(00:06:39) 夢日記をつけてると
(00:06:41) なんか現実と夢の境目が分かんなくなる
(00:06:46) みたいな話です
(00:06:48) なんかね夢日記をつけてると
(00:06:50) だんだん夢を忘れなくなるらしいんですよ
(00:06:53) すっごいはっきりと明瞭な夢を見るようになって
(00:06:58) だから夢のことはあんまり忘れない
(00:07:01) ただはっきりしすぎてて
(00:07:03) 夢の中でも意識がすごいはっきりしてるから
(00:07:07) 時々これが夢なのか
(00:07:10) それとも現実なのかっていうのが
(00:07:13) 分かんなくなることがあるらしいという噂
(00:07:19) もちろん俺も完全に信じてるわけじゃないですけどね
(00:07:23) いや嘘だろうなっていう気持ちはあるんだけど
(00:07:26) でももし本当にそんなことになったら
(00:07:29) ちょっと怖いなと思って
(00:07:32) 怖いしなんか嫌ですよね
(00:07:35) 友達と約束したつもりで
(00:07:38) でも実はそれは夢の中だった
(00:07:39) とかなったら
(00:07:41) すごい喧嘩になるじゃないですか
(00:07:43) お前約束したのに
(00:07:44) なんで待ち合わせ場所も来なかったんだよ
(00:07:46) とか言ったら
(00:07:47) いやそんな約束してねーよとか言われたりとかね
(00:07:51) まあそんなわけで
(00:07:53) 噂を完全に信じたわけじゃないけど
(00:07:56) まあちょっと怖いなと思ってやめちゃいました
(00:08:00) あとは名責務を見る訓練って
(00:08:03) なんかもう一個聞いたことあるのは
(00:08:05) 手のひらを見る癖をつけるっていうこと
(00:08:09) まあ別にこれは手のひらじゃなくても
(00:08:11) いいらしいんですけど
(00:08:13) 普段起きてる時に
(00:08:15) なんかあったら
(00:08:16) もうちょっと気がついたらすぐに手のひらを見る
(00:08:19) 自分の手のひらですよ
(00:08:20) 自分の手のひらを見るっていうのを習慣にしとくと
(00:08:24) 夢の中でもその手のひらを見るっていうことをするらしいんですね
(00:08:29) で夢の中でそれをやると
(00:08:32) いつも現実で見てる手のひらと
(00:08:34) ちょっと違うところなんかが出てくるらしいんですよ
(00:08:38) そうすると手のひらを見た時に
(00:08:41) あなんかいつもと違う
(00:08:43) じゃあこれは現実じゃなくて
(00:08:45) 今夢の中だって感じで気づくことができるらしい
(00:08:50) だからこれはなんか訓練っていうか
(00:08:52) あの新しい習慣を作るだけだから
(00:08:56) そんなに難しくないかもしれないけど
(00:08:59) まあでもこんなやり方でね
(00:09:00) 名刺勤務を見ることはできるらしいですね
(00:09:05) はいってことで今日は夢の話
(00:09:09) 主に名刺勤務の話が多かったですけどね
(00:09:14) 皆さんはどうですか
(00:09:16) 名刺勤務見たことありますか
(00:09:19) もしかしたら自由に夢をコントロールできる人って
(00:09:23) いるかもしれないですね
(00:09:24) もしこれを聞いてる人で
(00:09:26) それができる人がいたら
(00:09:28) ぜひやり方を教えてください
(00:09:31) あのさっきのちょっと夢と現実
(00:09:33) わかんなくなるっていうのも怖いけど
(00:09:35) でもやっぱり名刺勤務って楽しいんですよね
(00:09:39) 夢の中とはいえ空を飛ぶのって
(00:09:42) めっちゃくちゃ気持ちいいですからね
(00:09:45) このポッドキャストの説明のところに
(00:09:48) ツイッターとメールアドレス書いてありますから
(00:09:53) ぜひぜひ名刺勤務を見る
(00:09:55) 夢をコントロールするいい方法があったら
(00:09:57) 皆さんも教えてください
(00:09:59) それからこのポッドキャストの感想
(00:10:03) ご意見なども随時お待ちしてます
(00:10:07) 他に何か話して欲しいテーマがあったら
(00:10:09) それもツイッターやメールで教えてください
(00:10:13) できるだけ皆さんが聞いてみたいテーマについて
(00:10:17) 皆さんが楽しいと思えるトピックについて
(00:10:19) 話したいと思います
(00:10:22) さあそれじゃあ今日のお話はここまでです
(00:10:25) 皆さん勉強頑張って
(00:10:27) 今日の夜もいい夢見てください
(00:10:29) さよなら
