ep. 060 - 文法説明(N2)

みなさんこんにちはトモですこれは日本語を勉強している人のためのポッドキャストです
教科書の日本語は面白くないでもドラマや映画は難しすぎる そんな人のために日本語教授の友がちょうどいい日本語で話をします
で あの美味しいものを食べた時の美味しくてたまらないっていうのは その美味しいものを食べた時だけの気持ちですよね
なのでその時だけがすごい美味しいとかとても美味しいって思ったら 美味しくてたまらないっていうふうに言います
このたまらないっていう言葉は たまらないの前に美味しくてとか
あのなんとかでとかねてとかでとか別の言葉をつける時もあるんですけどそれだけで 使うこともできます
例えばそのビール飲んだ時にあーたまんないねって言ったりとか 寒い時にあったかいお風呂に入ってあーたまらないって言ったりとか
そのたまらないだけで使うことができます たまらないだけで言ったらまあとても美味しいとかとても気持ちいいとかそういう意味になります
でもう一つのしょうがないっていうのはそれだけで使うことができません 来週から旅行ですしょうがないですっていうことはできません
しょうがないってそれだけで使うとあの なんか悪いことの意味になっちゃうね旅行に行きたくないけどなんか一緒に
行かなきゃいけないからしょうがないから行くみたいな なので使い方の違いはこういうところもありますね
たまらないっていうのはそれだけでも使えるししょうがないっていうのはそれだけじゃ 使えない
愛知はこれがね1個目の文法の違いです 1個目っていうかまあ2つの文法の違いね
ちなみにこれ質問では て仕方がないとてしょうがないっていう言葉の違いっていうのも書かれてたんですけど
仕方ないとしょうがないって意味同じなのでこの2つは使い方一緒です たまらないとしょうがないは使い方違うので気をつけてください
じゃあその次8今度は別の人の質問なんですけども今度はしないととしなければ しなかったらしないことにはっていうこの4つの使い方の違いが質問ですね
これもまあだいたい同じような意味になるんですけど 確かにね使い方はちょっと違いますね
特にないことにはなんていうのは n 2とかで出てくるようなちょっと難しい文法ですね じゃあこの4つの使い方の違いですが
まずは最初の2つしないととかしなければですね この2つはまあだいたい同じように使うんですけど
何かをするときの条件っていう使い方が多いです 何かするときの条件って言ったらちょっとあの分かりにくいかもしれないけど何かを
するときに必要なものっていう感じですね 例えば
あの じゃあ日本に旅行に行きたい
何が必要ですかっていう話です でその必要なことを言うときに日本に旅行がしたいんだったら
あのパスポートがなければいけませんよとか 日本に留学するならビザを取らないとダメですよとか
この必要なものを言うときにないととかなければっていう言い方をよく使います で
えっとなかったら このととばとたらっていうのは意味がすごく似ているのでね
この使い分けが難しいっていう人がたくさんいるんですけども 何かをしなかったら
この使い方ですがこれはその条件とか必要なものっていうんじゃなくて それがなかったらそれをしなかったらこの後どうなりますかっていう質問の
質問を考えるときによく使う言葉です 例えば明日雨が降ったらどうする
降らなかったらどうするみたいな感じでそのなんとかだったらもしなんとかだったら その後はどうですかみたいなそのどうっていう部分を考えるときはこの
たらっていうのをよく使いますね ただたらってあの便利な言葉でいろんな意味があって
だいたいととか場を使うときには たらって言ってもあの問題ない時が多いです
だから使い方でね困ったら となのかばなのかたらなのかわかんなかったら
たらって言っとけば だいたいあの意味がわかります間違いじゃなくなります
ちょっとずるい覚え方だけどね でえっと最後ですね最後はないことにはの使い方
これ難しい言葉ですねどんな風に使うのかというと例えば 旅行に行きたいけどでも休みを取らないことにはいけない
とか お金を貯めないことには留学なんてできるわけがないとか
まあ意味としてはね休みを取らなければ旅行に行けないとか お金を貯めなかったら留学できないとだいたい同じなんですけど
一番の使い方の特徴はこのないことにはの後ろは ないっていう言葉があります
だからないが2つですねないことにはない 例えばそのさっき言ったようなお金を貯めないことには留学できない
他の言葉さっき言ったしないととかしなければしなかったらっていうのは後ろはない じゃなくても大丈夫です
例えば 明日雨が降らなければ
ピクニックに行けるねみたいな使い方ですね バーとか通っているのは後ろはないじゃなくてもいいんですけど
ないことにはっていうのは後ろがないの形になります なので明日雨が降らないことには遊びに行くっていうのはダメです
んでこのないが2つ来るっていうのは形の問題なんですけど じゃあ使い方はどうなのか
このないことにはっていうのはどんな時使うのかっていうと だいたいね
何かできないことの理由を説明するときそういう時によく使います だから例えば
あなたは旅行が好きなのにどうして旅行に行かないのっていうふうに聞かれたら いや旅行に行きたいけどでも仕事が忙しくて休みが取れないことには旅行にも行けない
でしょとか 留学したいって言ってたのになんで留学しないでアルバイトばっかりしてるのって聞かれた
時に いや留学したいけどでもお金を貯めないことには留学できないからだからまずは
バイトをして金貯めてるんだよって言ったりとか こういうふうに今何か自分ができないとか何かをしていない
じゃあそれはどうしてなのかっていう話の時にその時にこのないことにはを使います これがね2つ目の質問の使い方です
しないととかしなければっていうのは何かが必要だっていう話をするとき たらっていうのはそのどうですかっていう話を考えるとき
そしてないことにはっていうのは今自分が何かできないことについて説明するとき これが使い方の違いですね
はいじゃあ今日はねこの2つの質問の答えでした n 2の文法ってね難しいし何が違うのって聞かれた時に日本人でも
わかんないもの結構たくさんあると思います ですからね皆さんもちょっと難しいとは思うんですがいろんな
日本語を聞いてそしてちょっとずつ違いを覚えていってください あと今日のこのポッドキャストだけで違いがわからなかったとしても
jlpt みたいなテストの時にはあんまりねこの だいたい同じ意味だけどでも使い方が違うという問題はそんなに出ないと思うから
まああんまり心配しなくていいと思います ただね自分で一人で勉強するときに何が違うんだろうって気になった人は
こういうねちょっとした違いっていうのを覚えていってください じゃあ今日はこの2つの質問でしたがまたね他にも何かわかんないこととか
あったら あの
このポッドキャストを聞いている人でもね結構 聞いてて勉強になるっていう人がいると思うのでどんどん質問をしてください
じゃあ今日はこの辺で終わりにしますさようなら ああああああああ
