ep. 064 - 台湾(N4)

(00:00:00) みなさんこんにちはトモです。これは日本語を勉強している人のためのポッドキャストです。
(00:00:10) 教科書の日本語は面白くない。でもドラマや映画は難しすぎる。そんな人のために日本語教師のトモがちょうどいい日本語で話をします。
(00:07:37) 花園は日本語の言い方で中国語だと花園っていうところなんですけど ここは
(00:07:47) 本当に人もお店もたくさんあって すごく賑やかで楽しいところです
(00:07:56) まあ他にもね台南は夜市がたくさんあって 有名なっていうか大きいところだとダートンとか
(00:08:06) 日本語だと大東夜市って言うんですけどそういうところもね あのすごく楽しいところなので
(00:08:15) 台湾に旅行に行ったら 台北だけじゃなくてこの
(00:08:21) 台南にもぜひ遊びに行ってほしいなと思います ちなみに台南に行くなら一つ注意があって
(00:08:33) もし皆さんが台南に遊びに行くなら 台南に行く前に
(00:08:40) 何も食べてはいけません なぜかというと
(00:08:46) 台南には美味しい食べ物がたくさんあるので台南に行く前に何かを食べてしまうと 台南で
(00:08:56) 食べきれません 食べきれないっていうのは美味しいものを全部食べることができません
(00:09:05) せっかく台南に行くのに美味しいものが全部食べることができなかったら もったいないので
(00:09:13) ですから台南に行く前には何も食べないで お腹が空いた状態で行ってください
(00:09:22) さあこの台湾の紹介 台湾の紹介っていうか台南の紹介ですが
(00:09:29) だいたいね日本のテレビもそうだし あとインターネットで英語とかで台湾の紹介を探しても
(00:09:39) 全然この台南の話が出てこないんですよ 個人的にはねこの台南ってすごくいいところだと思うので
(00:09:50) まあ俺が台南に旅行に行ったら だいたい
(00:09:55) 遊びにはあんまり行かないで食べてばかりなんですけど まあそのぐらいずっと食べていたいぐらい美味しいものがたくさんあるところなんですよ
(00:10:05) だからねその美味しい食べ物が好きな人には すごくいいところだと思うので
(00:10:13) 台湾に旅行に行ってみたいっていう人はぜひ台湾の台南にも行ってみてください
(00:10:22) さて今日は台湾の紹介で台南の話ばかりでしたが もちろん他にもね台湾にはいいところっていうのがすごくたくさんあるので
(00:10:34) 皆さんもぜひ台湾に旅行に行ってみてください このポッドキャストは結構台湾の人も聞いてくれてるみたいなんですけど
(00:10:45) 台湾人がこのポッドキャストを聞いたら まだまだ台湾にはいいところがある紹介が全然足りないと思うかもしれませんが
(00:10:56) もちろんね俺も台湾のいいところは他にもたくさん知っていますが それについてはまた今度ね別の機会に紹介したいと思います
(00:11:09) さあそれじゃあ今日はこの辺で終わりにしたいと思います さようなら
