ep. 079 - 日本の職場(N2)

(00:00:00) みなさんこんにちはトモですこれは日本語を勉強している人のためのポッドキャストです
(00:09:01) だからそれはその職場に入ってから周りの人に聞いたりとか周りの人がしている ことを見たりとかしてそれで覚えておくのが一番いいんじゃないかなと思います
(00:09:14) ただまあ一つだけねどの職場に行っても大事なのは挨拶ですね 挨拶をしなくていい職場っていうのは
(00:09:24) 俺は見たことないかな 今までやってきたアルバイトとか仕事とか全部ですけど
(00:09:32) あの挨拶は必ずしっかりしてました なのでどんなねあのその職場での文化があるかは入ってみないとわかんないんですけど
(00:09:45) でも入った時にしっかり挨拶してそしてこうわからないことがあったら先輩に聞く っていうことをやってればいいんじゃないかなと思います
(00:09:56) だからね前の職場で大丈夫だったから次も大丈夫とか 前の職場でダメだったことは次の職場でも全部ダメとかそういうことって全然ないと思う
(00:10:07) ので気をつけてください ってことで今日はあの日本の職場での働き方についてですね
(00:10:15) 最初はねやっぱりその男女の違いとかで周りに女性がたくさんいて その中に男が自分一人だけだったら戸惑うこととかもねあるかもしれませんけど
(00:10:28) 大事なのって男だからこうとか女だからこうっていうんじゃなくて周りをよく見て そしてその周りの人がいやそうな顔してないかとか
(00:10:40) そういうのにね気を配るのが 大事じゃないかなと思います
(00:10:44) 日本ではその空気を読むっていうのが大事ですからね では今日は日本のねオフィスっていうか職場での話でしたが皆さんの国の職場で
(00:10:56) こう気をつけるべきことって何かあるんでしょうか 何か面白い話があったらぜひ教えてください
(00:11:03) それじゃあ今日はこの辺で終わりますさようなら
