ep. 073 - JLPT公式問題集1の解説-N3文法問題1(N3)

ん
皆さんこんにちは友です これは日本語を勉強している人のためのポッドキャストです
じゃあまずこれはどんな文法なのかというと 8一つ目に使われている文法は方がいいですね
さっきちょっとアドバイスのところでも方がいいっていうのを言いましたけど ここでは話しかけるか話しかけないかどちらがいいかと考えて話しかけない方が
いいと言いましたね でその次は話しかけない方がいいと後は何かの様子を見てそして多分こう
かなって考えた時の文法がそうですっていうものなので 話しかけない方がいいですとそうです
一緒にすると良さそうです 普通はねそうですの前はいい形容詞だったらいいがなくなるだけなんですけどでもいい
ですはちょっと特別でいいが4に変わってそして そうですの前に差が入ります
そうすると良さそうです で最後にあのなってついてますけどこれ一人ごとの時によく使う言葉
独り言っていうのは誰かと話すんじゃなくて自分一人で話すことですね で
8自分が考えたこととかを独り言で言うときになをつけます 例えばお腹すいたなぁとか今日は暑いなとか
この名の使い方ですねでこの弟が今 えっとお父さんに話しかけない方がいいと考えてそしてそれを一人ごとで言ってるから
最後に名がついてます
はいじゃあとりあえずここまでが問題1ですね ちょっと長くなってきたので1回ここで終わりにしたいと思いますが
続きもねまた時間があったら 作りたいと思いますので続きが聞きたい人はもうちょっとお待ちください
いろんな人からねあの続きが早く聞きたいですっていうメッセージとかもらったらもしか したらちょっと早く作るかもしれません
皆さんからの応援のメッセージいつも嬉しく読んでます 皆さんからのメッセージがこのポッドキャストを作る
原動力 まあこのポッドキャストを作るためのやる気ですねやる気になっているのでどんどんメッセージを送って
ください 他にも何かこうリクエストとか質問とかあればいつでも気軽にメッセージください
それじゃあ今日はこの辺で終わりにしたいと思いますさようなら
