ep. 019 - 就活(N2～N1)

(00:00:00) みなさんこんにちはトモです これは日本語を勉強している人のためのポッドキャストです
(00:05:47) ここまで終わったら 自己分析をしてどんな業種があってどんな職種があって
(00:05:54) そして自分にどんな仕事がいいのかっていうのがわかったら ここで初めて入りたい会社っていうのは探します
(00:06:05) この入りたい会社を探すやり方っていうのはいろいろあるんですけど 一般的なのはやっぱり
(00:06:12) あの企業の合同説明会とかですね 大学生なんかは
(00:06:19) みんなこういうのに参加すると思います あの広い場所にいろんな企業が集まってそして
(00:06:28) そのそれぞれの企業の説明を聞くんです もちろん探し方はこれだけじゃありません
(00:06:36) インターネットでも就活のためのサイトっていうのがたくさんあります 社員を募集している企業がそのいろんな就活サイトに登録をしておいて
(00:06:46) そして就活している人が登録されている企業のリストを見て そして自分が気に入ったところがあったらそこに申し込むっていうやり方ですね
(00:06:59) あと他にもハローワークなんかもあります ハローワークっていうのはいろんな仕事を紹介するところです
(00:07:08) 仕事を探している人がそこに行って自分がやりたい仕事とか入りたい会社の職種とか 業界とかの希望を伝えると係の人がちょうどいい会社を紹介してくれるんです
(00:07:23) こうやっていろいろな自分の入りたい会社を探していきます そして
(00:07:30) 自分が入りたい会社を探すこの段階まで来たら他にもすることがあります 何をするかっていうとテスト勉強です
(00:07:40) 日本の会社は入るときにテストをしなければならないところがあります 特に
(00:07:47) 大きい会社有名な会社とかはそうですね 一般教養とかあとは
(00:07:55) パズルみたいな問題とか あとは数学とかも出ますね
(00:08:01) 大人として仕事ができるだけの最低限の知識とか あとは思考力とかそういうものがあるかどうかっていうのを確認するテストです
(00:08:13) 自分が入りたい魅力的な企業を探しながらこういうテスト勉強も同時にしていきます そして自分が入りたい会社が見つかったら
(00:08:24) 次にするのはエントリーシートの作成 エントリーシートを作ります
(00:08:31) エントリーシートっていうのは まあ簡単に言ったら自己紹介みたいなものです
(00:08:38) 名前とか住所も書くし今まで学校でどんな勉強をしたかとか 今まで学校の他にどんなところでどんな活動をしてきたか
(00:08:49) どんなことを頑張ったかどんなことに興味があるか あとは自分の聴書書いたりとか自己PRを書いたりとかしますね
(00:08:59) 企業はそれを見て 申し込んできた人はどんな人なのかっていうのを考えます
(00:09:06) 就活するときにエントリーシートと同じようなもので履歴書っていうのも出します 履歴書もまあエントリーシートと本当すごく似てるんですけど
(00:09:18) 名前とか住所とか連絡先 あとはこれまでどんな学校に行ったか
(00:09:26) あとは仕事の経験がある人はどんな仕事をしてきたかなどを書きます エントリーシートはその会社に入るときの例えば面接とか試験とか
(00:09:39) そういう時に参考にするためのもので履歴書っていうのは その会社に入ってから会社に保存しておくものですね
(00:09:48) エントリーシートを書いて履歴書も準備して そしていろいろな会社に応募をしていきます
(00:09:57) 大体の会社は最初は書類審査 そのエントリーシートとか履歴書とかを見て
(00:10:05) ちゃんと仕事ができるかどうか魅力的な人なのかっていうのを考えます そしてその書類審査に通ったら次はテストとか
(00:10:17) あとは面接とかですね 企業によっては面接の他にグループディスカッションとか
(00:10:26) 他に申し込んできた人たちと一緒に何かの活動とか話し合いとか そういうのをさせる会社っていうのもあります
(00:10:35) 仕事っていうのは一人でするものじゃなくていろいろなたくさんの人と一緒にするので そういうグループディスカッションとかをさせて他の人とちゃんと協力できるかとか
(00:10:48) コミュニケーション能力があるかとかそういうのをチェックするみたいですね なので書類審査に通ったらそのグループディスカッションとか
(00:10:57) あとは面接とかそこでちゃんと上手に話ができるかという練習をみんなします 面接ではいろいろなことを聞かれます
(00:11:09) 例えば死亡動機とかあとは自己PRをしてくださいって言われたりとか なのでそういういろんな質問が来た時にちゃんと上手に答えられるように
(00:11:21) いろいろな話題について答える練習をします 会社にもよるけど
(00:11:28) 最初のテストそしてその次の面接 面接が2,3回あるところなんかもあります
(00:11:38) それはね企業によって違うんですけど あまり大きくない企業だったら最初から社長とか
(00:11:47) 一番偉い人と面接するんですが大きいところだと最初は偉い人が出てこないで 人事の担当の人が面接をしてそして良さそうな人だったらその次にもっと偉い人が
(00:12:01) 出てきて という順番で面接をします
(00:12:07) そしてこのテストとかグループディスカッションとか 面接とか全部終わって
(00:12:15) その全部をパスしたら内定がもらえます 内定っていうのは
(00:12:22) まだ会社には入らないけどあなたはこの後ちゃんと入れますよっていう約束ですね いやー大変ですね長いですね日本の就活
(00:12:33) 人によってはなかなか入りたい会社に入れなくて 面接を20社30社50社というふうにたくさんする人なんかもいるみたいですね
(00:12:45) 大変ですね 俺はちょっと特殊な
(00:12:50) まあ日本語学校だからね普通の会社とちょっと違うのでそんなにたくさんはしませんでした 結構すぐ決まっちゃったので俺の就活はすごい楽でした
(00:13:02) さて以上が日本の就活の流れですが 外国の人が日本で就活すると
(00:13:11) まあ就活だけじゃなくてアルバイトもそうなんですが 仕事を探すときにみんな苦労しているのが履歴書の書き方ですね
(00:13:21) 履歴書って結構日本人でもね 書くのが大変で特に初めてアルバイトする大学生とかは書き方がわからなくて困る
(00:13:31) っていう人もいるみたいです じゃあ一般的に履歴書にどんなことを書くのかっていうと
(00:13:39) あんまり難しくないんですけどね 名前と住所と連絡先
(00:13:45) まあつまり電話番号とかメールアドレス それを書いて次に学歴を書きます
(00:13:53) 学歴っていうのは今までいつどんな学校に入っていつ卒業したかっていうことです 普通は小学校は書かないので中学校卒業から書きますね
(00:14:08) 中学校卒業して高校とか大学に行った人はいつどこの学校に入って卒業したかを書いて
(00:14:18) そしてその次に書くのが職歴です 学校じゃなくて今までどんな会社に入ったかっていうことですね
(00:14:27) これもいつ入ってそしていつその会社を辞めたかっていうのを書きます 学歴と職歴が終わったらその次は資格を書きます
(00:14:41) 自分が持っている資格 まあ例えば外国の人だったら jlpt とかねあと日本人でも英語とかの外国語ができる人は
(00:14:51) 外国語の資格を書いたりとか車の免許も資格の一つだし あと他にもね自分で何か勉強して特別な資格を取ったらそういうのを書きます
(00:15:03) それから履歴書にも簡単に志望動機とかを書く場合もあります 志望動機とかあと自己PRとかね
(00:15:12) 志望動機はどうしてその会社に入りたいのか 自己PRっていうのは自分のいいところ
(00:15:20) 自分は何ができてこの会社に入ったら会社にとってどんないいことがあってっていうのを 説明します
(00:15:30) この履歴書って昔は日本の 変なまあ変なっていうか悪いっていうか
(00:15:38) 昔の習慣があって 全部
(00:15:42) ボールペンを使って手で書かなければならないっていうふうに言われてました めんどくさいですね
(00:15:49) ボールペンを使って書くと間違えた時に消すことができないですよね 皆さんはボールペンで書いて間違えたらどうしますか
(00:16:00) 多分修正液とか修正テープで消してもう1回書きますよね 日本はそれがダメだっていう人がいるんですよ
(00:16:11) 一文字でも間違えたら修正テープを使わないで 全部最初から書き直した方がいいっていう人がいるんです
(00:16:20) めんどくさいね なんでかっていうと
(00:16:24) ちゃんと丁寧に心を込めて書いたら 間違えるはずがないと
(00:16:32) そしてもし間違えてそれをそのまま出したり 修正テープで直したりしたらその人は
(00:16:41) 会社に入りたいっていう気持ちが弱いっていうふうに言う人がいます まあこの考え方はもうだいぶ古いんで
(00:16:51) あの最近では手書きじゃなくて パソコンを使ってあのワードとかを使って
(00:17:00) それで作った履歴書でも大丈夫っていうところも多くなってきましたね 個人的にはそんな手書きじゃなきゃダメだなんていう古い考え方の会社はあんまり
(00:17:11) 良くないところじゃないかなと思いますけど まあそんなのが日本の履歴書の事情です
(00:17:19) はいそれじゃあこんなのが日本の就活についてですね 日本で仕事を探したい人少しは参考になったでしょうか
(00:17:29) 仕事を探すって大変ですね 俺はさっきもちょっと言ったけどちょっと日本語学校っていう特殊な場所で働いているので
(00:17:39) 就活であんまり苦労はしてないんです あのなかなか就職が決まらないって言ってる大学生とか見ると大変だなと思います
(00:17:49) 皆さんの国での就活ってどうでしょう 日本みたいに大変ですかそれとも結構簡単に決まっちゃいますか
(00:17:58) 何か面白い話があったらぜひ教えてください それじゃあ今日はこの辺で終わりにしたいと思います
(00:18:07) ポッドキャストについての意見感想質問などあったらいつでもどうぞ送ってください 最近はツイッターとかインスタとかでいろいろメッセージを送ってくれる人が多く
(00:18:20) なってきてとても嬉しいです 皆さんも気軽にメッセージを送ってください
(00:18:26) それじゃあさようなら
